panel,odor,fly_id,glomerulus,delta_f_over_f,roi_depth_um,zscore_scaled_delta_f_over_f,maxabs_scaled_delta_f_over_f,to-avg-max_scaled_delta_f_over_f,split-minmax_scaled_delta_f_over_f,split-minmax-to-avg_scaled_delta_f_over_f,delta_spike_rate,date,fly_num
megamat,benz @ -3,9,DL5,0.9601187740405516,0.0,3.237662400691904,0.5712781960952292,1.7041825764575447,0.5712756390821853,1.704174948620342,200,2023-06-22,1
glomeruli_diagnostics,ms @ -3,1,DM2,0.24078405146642243,10.0,0.02863211071642192,0.0838279892914067,0.2500676548594744,0.08382274739317586,0.2500520177290997,-2,2023-04-22,2
megamat,ms @ -3,1,DM2,0.03554488161098349,0.0,-0.5150593486255848,0.012374806125668,0.036915340250248375,0.012369155406484264,0.03689848356423585,-2,2023-04-22,2
glomeruli_diagnostics,ms @ -3,2,DM2,0.21595712719753976,10.0,0.17909040031428441,0.11295596209870161,0.3369594425821875,0.11285701280746009,0.33666426650293363,-2,2023-04-22,3
megamat,ms @ -3,2,DM2,0.1433640506481162,10.0,-0.11898297830606694,0.0749862923325155,0.2236919485807277,0.07488310754478057,0.22338413757268422,-2,2023-04-22,3
glomeruli_diagnostics,ms @ -3,3,DM2,0.23657412316685056,6.666666666666667,0.26127867568520124,0.09675659658172184,0.28863504187444167,0.09612768877026386,0.28675894413115216,-2,2023-04-26,2
megamat,ms @ -3,3,DM2,0.010066686733247144,0.0,-0.6719940774280317,0.004117180417388301,0.012281979566879426,0.0034237698902125344,0.010213463479932185,-2,2023-04-26,2
glomeruli_diagnostics,ms @ -3,4,DM2,0.1431342950801104,6.666666666666667,-0.2641880659165146,0.05490615339570499,0.1637907950921831,0.054858935029411936,0.16364993776964668,-2,2023-04-26,3
megamat,ms @ -3,4,DM2,0.0804432315491721,5.0,-0.47641992585057125,0.030857932465542356,0.09205243822138592,0.03080951261253065,0.09190799673837258,-2,2023-04-26,3
glomeruli_diagnostics,ms @ -3,5,DM2,0.09980014019168514,6.666666666666667,-0.5183338350894349,0.03544723694492662,0.1057428132178115,0.03538141823223465,0.10554646911761444,-2,2023-05-08,1
megamat,ms @ -3,5,DM2,0.28004944761907535,0.0,-0.05157528452625131,0.0994685889917843,0.2967251987267489,0.09940713893899143,0.2965418867957006,-2,2023-05-08,1
glomeruli_diagnostics,ms @ -3,6,DM2,0.08943652621161402,13.333333333333334,-0.41050747207792265,0.04119651173187817,0.12289350089705252,0.041144540172544146,0.12273846430280867,-2,2023-05-08,3
megamat,ms @ -3,6,DM2,0.18998546610501502,10.0,-0.055355347807818,0.08751165563790905,0.2610564166363126,0.08746219457241347,0.2609088691076186,-2,2023-05-08,3
glomeruli_diagnostics,ms @ -3,7,DM2,0.3467241390568189,2.5,0.3529374629148528,0.09641302238040499,0.2876101241170223,0.09638837391211469,0.28753659515953045,-2,2023-05-09,1
megamat,ms @ -3,7,DM2,0.18675547506884219,0.0,-0.16722439069318987,0.051930793876813965,0.15491498662364853,0.051904932001484945,0.15483783794611897,-2,2023-05-09,1
glomeruli_diagnostics,ms @ -3,8,DM2,0.4066173927520807,23.333333333333332,0.3571203825931755,0.14669199220897244,0.43759754693439173,0.14665094035529444,0.43747508496359094,-2,2023-05-10,1
megamat,ms @ -3,8,DM2,0.12010803375958372,10.0,-0.3657977474993743,0.04333038150003163,0.12925905747556832,0.0432843570155099,0.12912176162715597,-2,2023-05-10,1
glomeruli_diagnostics,ms @ -3,9,DM2,0.26822560711691096,13.333333333333334,0.4025749637413788,0.15959633862323028,0.47609256122001437,0.15959132622800143,0.4760776087210853,-2,2023-06-22,1
megamat,ms @ -3,9,DM2,0.1902478198234927,10.0,0.08305476078905114,0.11319894398317921,0.3376842829432444,0.11319365486131269,0.337668504939828,-2,2023-06-22,1
glomeruli_diagnostics,ms @ -3,10,DM2,0.021402763587357734,23.333333333333332,-0.5793382885117456,0.006805410449499047,0.020301250761800664,0.006796502520083089,0.020274677477179003,-2,2023-11-19,1
glomeruli_diagnostics,ms @ -3,11,DM2,0.07728086906499486,36.666666666666664,-0.543528269586778,0.024675792046314513,0.07361046711225959,0.024577542423547257,0.07331737821720298,-2,2023-11-21,1
glomeruli_diagnostics,ms @ -3,12,DM2,0.22919031553602676,10.0,-0.011826671627725136,0.06804401317707372,0.2029824041617838,0.06793935980926892,0.2026702122258766,-2,2023-11-21,2
glomeruli_diagnostics,ms @ -3,13,DM2,0.17582884588954487,50.0,-0.40505149019492376,0.033516831173643284,0.09998421101069038,0.033477735949615214,0.099867585870668,-2,2023-11-21,3
glomeruli_diagnostics,ms @ -3,14,DM2,0.1190750771569733,0.0,-0.37380851314577507,0.0297612817500226,0.08878101450064421,0.02975495213774255,0.08876213260555857,-2,2024-01-05,1
glomeruli_diagnostics,a-terp @ -3,1,DM2,0.09563795917648958,10.0,-0.35586900956430745,0.033295966941634246,0.09932534991897503,0.03329043592333046,0.09930885031320011,63,2023-04-22,2
glomeruli_diagnostics,a-terp @ -3,2,DM2,0.16587364787603553,10.0,-0.026556647641583057,0.08675989408546039,0.25881383334136027,0.086658022636747,0.25850994016090545,63,2023-04-22,3
glomeruli_diagnostics,a-terp @ -3,3,DM2,0.0343324953190193,6.666666666666667,-0.5720122916556218,0.014041668440987283,0.041887764779202884,0.01335516810880341,0.039839862526260865,63,2023-04-26,2
glomeruli_diagnostics,a-terp @ -3,4,DM2,0.24212690177491494,6.666666666666667,0.07093760998130587,0.09287960514731743,0.2770695711515125,0.09283428399404789,0.2769343734137469,63,2023-04-26,3
glomeruli_diagnostics,a-terp @ -3,5,DM2,0.11905927080880707,6.666666666666667,-0.4684619991292549,0.04228773802064846,0.1261487429857682,0.0422223860869573,0.12595379133612444,63,2023-05-08,1
glomeruli_diagnostics,a-terp @ -3,6,DM2,0.0751672275349346,13.333333333333334,-0.46090851799884425,0.034623746048329504,0.10328625379117048,0.03457141821486226,0.10313015439394478,63,2023-05-08,3
glomeruli_diagnostics,a-terp @ -3,7,DM2,0.141202133163521,2.5,-0.31534784295440094,0.03926384953147016,0.1171281675259809,0.03923764212130746,0.1170499880819226,63,2023-05-09,1
glomeruli_diagnostics,a-terp @ -3,8,DM2,0.37604530028766003,23.333333333333332,0.27998112265725733,0.13566275138075942,0.4046961686226215,0.13562116892057527,0.40457212379714685,63,2023-05-10,1
glomeruli_diagnostics,a-terp @ -3,9,DM2,0.16253667294080382,13.333333333333334,-0.030493873807122693,0.09671059438425364,0.2884978125106397,0.09670520692140093,0.2884817411457817,63,2023-06-22,1
