,2h(-8),2h(-7),ma(-8),ma(-7),farn(-4),farn(-3),2h(-7)+ma(-7),2h(-7)+farn(-3),ma(-7)+farn(-3),PFO,experiment,2h(-7)+ma(-7)_predicted,2h(-7)+farn(-3)_predicted,ma(-7)+farn(-3)_predicted
211,False,False,False,False,False,False,False,False,False,False,20250219_3FLfun1,False,False,False
212,False,False,False,False,False,False,False,False,False,False,20250219_3FLfun1,False,False,False
213,False,False,False,True,False,True,True,True,False,False,20250219_3FLfun1,True,True,True
214,False,False,False,False,False,True,False,True,False,False,20250219_3FLfun1,False,True,True
215,False,False,False,False,False,False,False,False,False,False,20250219_3FLfun1,False,False,False
216,True,True,False,True,False,False,True,True,False,False,20250219_3FLfun1,True,True,True
217,False,False,False,False,False,False,False,False,False,False,20250219_3FLfun1,False,False,False
218,False,False,False,False,False,False,False,True,False,False,20250219_3FLfun1,False,False,False
219,False,False,False,False,False,False,False,False,False,False,20250219_3FLfun1,False,False,False
220,False,False,False,False,False,False,False,False,False,False,20250219_3FLfun1,False,False,False
221,False,False,False,False,False,False,False,False,False,False,20250219_3FLfun1,False,False,False
222,True,True,False,False,False,True,True,False,False,False,20250219_3FLfun1,True,True,True
223,False,False,False,False,False,False,False,False,False,False,20250219_3FLfun1,False,False,False
224,False,False,False,False,False,False,False,False,False,False,20250219_3FLfun1,False,False,False
225,False,False,False,False,False,False,False,False,False,False,20250219_3FLfun1,False,False,False
226,False,False,False,False,False,True,False,True,False,False,20250219_3FLfun1,False,True,True
227,False,False,False,False,False,True,False,False,False,False,20250219_3FLfun1,False,True,True
228,False,False,False,False,False,False,False,False,False,False,20250219_3FLfun1,False,False,False
229,False,False,False,False,False,True,False,True,False,False,20250219_3FLfun1,False,True,True
230,False,True,False,False,False,False,True,False,False,False,20250219_3FLfun1,True,True,False
231,False,False,False,False,False,False,False,False,False,False,20250219_3FLfun1,False,False,False
232,False,False,False,False,False,False,False,False,False,False,20250219_3FLfun1,False,False,False
233,False,False,False,False,False,True,False,True,False,False,20250219_3FLfun1,False,True,True
234,False,False,False,False,False,False,False,False,False,False,20250219_3FLfun1,False,False,False
235,False,False,False,False,False,False,False,False,False,False,20250219_3FLfun1,False,False,False
236,False,False,False,False,False,True,False,False,False,False,20250219_3FLfun1,False,True,True
237,False,False,False,False,False,False,False,False,False,False,20250219_3FLfun1,False,False,False
238,False,False,False,False,False,False,False,False,False,False,20250219_3FLfun1,False,False,False
239,False,False,False,False,False,False,False,False,False,False,20250219_3FLfun1,False,False,False
240,False,False,False,False,False,False,False,False,False,False,20250219_3FLfun1,False,False,False
241,False,False,False,False,False,False,False,False,False,False,20250219_3FLfun1,False,False,False
242,True,True,False,False,False,True,False,False,False,False,20250219_3FLfun1,True,True,True
243,False,False,False,False,False,False,False,False,False,False,20250219_3FLfun1,False,False,False
244,False,False,False,False,False,False,False,False,False,False,20250219_3FLfun1,False,False,False
245,False,False,False,False,False,False,False,False,False,True,20250219_3FLfun1,False,False,False
246,False,False,False,False,False,False,False,False,False,True,20250219_3FLfun1,False,False,False
247,False,False,False,False,False,False,False,False,True,False,20250219_3FLfun1,False,False,False
248,False,False,False,False,False,False,False,False,False,False,20250219_3FLfun1,False,False,False
249,False,False,False,False,False,True,False,True,False,False,20250219_3FLfun1,False,True,True
