,2h(-8),2h(-7),ma(-8),ma(-7),farn(-4),farn(-3),2h(-7)+ma(-7),2h(-7)+farn(-3),ma(-7)+farn(-3),PFO,experiment,2h(-7)+ma(-7)_predicted,2h(-7)+farn(-3)_predicted,ma(-7)+farn(-3)_predicted
139,False,False,False,False,False,False,False,False,False,True,20250219_3FRfun1,False,False,False
140,False,False,False,False,False,False,False,False,False,False,20250219_3FRfun1,False,False,False
141,False,False,False,False,False,False,False,True,False,False,20250219_3FRfun1,False,False,False
142,False,False,False,False,False,False,False,False,False,False,20250219_3FRfun1,False,False,False
143,False,True,False,False,False,False,False,False,False,True,20250219_3FRfun1,True,True,False
144,False,False,False,True,False,False,True,False,False,False,20250219_3FRfun1,True,False,True
145,False,False,False,False,False,False,False,False,False,False,20250219_3FRfun1,False,False,False
146,False,False,False,False,False,False,False,False,False,False,20250219_3FRfun1,False,False,False
147,True,True,True,True,False,True,False,True,False,False,20250219_3FRfun1,True,True,True
148,False,False,False,False,False,False,False,False,False,False,20250219_3FRfun1,False,False,False
149,False,False,False,False,False,False,False,False,False,False,20250219_3FRfun1,False,False,False
150,False,False,False,False,False,False,True,False,False,False,20250219_3FRfun1,False,False,False
151,False,False,False,False,False,False,False,False,False,False,20250219_3FRfun1,False,False,False
152,False,False,False,False,False,False,True,False,False,False,20250219_3FRfun1,False,False,False
153,False,False,False,False,False,False,False,False,False,False,20250219_3FRfun1,False,False,False
154,False,False,False,False,False,False,False,False,False,False,20250219_3FRfun1,False,False,False
155,True,True,False,False,False,False,True,True,False,False,20250219_3FRfun1,True,True,False
156,False,True,False,False,False,False,True,True,False,False,20250219_3FRfun1,True,True,False
157,False,False,False,False,False,False,False,False,False,True,20250219_3FRfun1,False,False,False
158,False,False,False,False,False,False,False,False,False,False,20250219_3FRfun1,False,False,False
159,False,False,False,False,False,False,False,False,False,False,20250219_3FRfun1,False,False,False
160,True,True,False,False,False,True,False,False,False,False,20250219_3FRfun1,True,True,True
161,False,False,False,False,False,True,False,True,False,False,20250219_3FRfun1,False,True,True
162,False,False,False,False,False,False,False,False,False,False,20250219_3FRfun1,False,False,False
163,False,False,False,False,False,False,False,False,False,False,20250219_3FRfun1,False,False,False
164,False,True,False,False,False,False,True,False,False,False,20250219_3FRfun1,True,True,False
165,False,False,False,False,False,False,False,False,False,False,20250219_3FRfun1,False,False,False
166,False,True,False,False,False,False,True,True,False,False,20250219_3FRfun1,True,True,False
167,False,False,False,False,False,False,False,False,False,False,20250219_3FRfun1,False,False,False
168,False,False,False,False,False,False,False,False,False,False,20250219_3FRfun1,False,False,False
169,True,False,False,False,False,False,False,False,False,False,20250219_3FRfun1,False,False,False
170,False,False,False,False,False,False,True,False,False,False,20250219_3FRfun1,False,False,False
171,False,False,False,False,False,False,False,False,False,False,20250219_3FRfun1,False,False,False
172,False,False,False,False,False,False,False,False,False,False,20250219_3FRfun1,False,False,False
173,False,False,False,False,False,False,False,False,True,True,20250219_3FRfun1,False,False,False
174,False,False,False,False,False,False,False,False,False,False,20250219_3FRfun1,False,False,False
175,False,False,False,False,False,False,False,False,False,False,20250219_3FRfun1,False,False,False
176,False,False,False,False,False,False,False,False,False,False,20250219_3FRfun1,False,False,False
177,False,False,False,False,False,False,False,False,False,False,20250219_3FRfun1,False,False,False
178,False,False,False,False,False,False,False,False,False,False,20250219_3FRfun1,False,False,False
179,False,False,False,False,False,False,False,False,False,False,20250219_3FRfun1,False,False,False
180,False,False,False,False,False,False,False,False,False,False,20250219_3FRfun1,False,False,False
181,False,False,False,False,False,False,False,False,False,False,20250219_3FRfun1,False,False,False
182,False,False,False,False,False,False,False,False,False,False,20250219_3FRfun1,False,False,False
183,False,False,False,False,False,False,False,False,False,False,20250219_3FRfun1,False,False,False
184,False,True,False,False,False,False,True,False,False,False,20250219_3FRfun1,True,True,False
185,False,False,False,False,False,False,False,False,False,False,20250219_3FRfun1,False,False,False
186,False,False,False,False,False,False,False,False,False,True,20250219_3FRfun1,False,False,False
187,False,False,False,False,False,True,False,False,False,False,20250219_3FRfun1,False,True,True
188,False,False,False,False,False,False,False,False,False,False,20250219_3FRfun1,False,False,False
189,False,False,False,False,False,False,False,False,False,False,20250219_3FRfun1,False,False,False
190,False,False,False,False,False,False,False,False,False,False,20250219_3FRfun1,False,False,False
191,False,False,False,False,False,False,False,False,False,False,20250219_3FRfun1,False,False,False
192,False,False,False,False,False,False,False,False,False,False,20250219_3FRfun1,False,False,False
193,False,True,False,False,False,False,True,False,False,False,20250219_3FRfun1,True,True,False
194,False,False,False,False,False,False,False,False,False,False,20250219_3FRfun1,False,False,False
195,False,False,False,False,False,False,False,False,False,False,20250219_3FRfun1,False,False,False
196,False,False,False,False,False,False,False,False,False,False,20250219_3FRfun1,False,False,False
197,False,False,False,False,False,False,False,False,False,True,20250219_3FRfun1,False,False,False
198,False,False,False,False,False,True,False,False,False,False,20250219_3FRfun1,False,True,True
199,False,False,False,False,False,False,False,False,False,False,20250219_3FRfun1,False,False,False
200,False,False,False,False,False,False,False,False,False,False,20250219_3FRfun1,False,False,False
201,False,False,False,False,False,False,False,False,False,False,20250219_3FRfun1,False,False,False
202,False,False,False,False,False,False,False,False,False,False,20250219_3FRfun1,False,False,False
203,False,False,False,False,False,False,False,False,False,False,20250219_3FRfun1,False,False,False
204,False,False,False,True,False,False,True,False,False,False,20250219_3FRfun1,True,False,True
205,False,False,False,False,False,False,False,False,False,False,20250219_3FRfun1,False,False,False
206,False,False,False,False,False,False,False,False,False,False,20250219_3FRfun1,False,False,False
207,False,False,False,False,False,False,False,False,False,False,20250219_3FRfun1,False,False,False
208,False,False,False,False,False,False,False,False,False,False,20250219_3FRfun1,False,False,False
209,True,True,False,False,False,False,True,True,False,False,20250219_3FRfun1,True,True,False
210,False,False,False,False,False,False,False,False,False,False,20250219_3FRfun1,False,False,False
211,False,False,False,False,False,False,False,False,False,False,20250219_3FRfun1,False,False,False
212,False,False,False,False,False,False,False,False,False,False,20250219_3FRfun1,False,False,False
213,False,False,False,False,False,False,False,False,False,True,20250219_3FRfun1,False,False,False
214,False,False,False,False,False,False,False,False,False,False,20250219_3FRfun1,False,False,False
215,False,False,False,False,False,False,False,False,False,False,20250219_3FRfun1,False,False,False
216,False,False,False,False,False,False,False,False,False,False,20250219_3FRfun1,False,False,False
217,False,False,False,True,False,False,True,False,False,False,20250219_3FRfun1,True,False,True
218,False,False,False,False,False,False,False,False,False,False,20250219_3FRfun1,False,False,False
219,False,False,False,False,False,False,False,False,False,False,20250219_3FRfun1,False,False,False
220,True,True,False,False,False,False,True,True,False,False,20250219_3FRfun1,True,True,False
221,False,False,False,False,False,False,False,False,False,False,20250219_3FRfun1,False,False,False
222,False,False,False,False,False,False,False,False,False,False,20250219_3FRfun1,False,False,False
223,False,False,False,False,False,False,False,False,False,False,20250219_3FRfun1,False,False,False
224,False,False,False,False,False,False,False,False,False,False,20250219_3FRfun1,False,False,False
225,False,False,False,False,False,False,False,False,False,False,20250219_3FRfun1,False,False,False
226,False,False,False,False,False,False,False,False,False,False,20250219_3FRfun1,False,False,False
227,False,False,False,False,False,False,False,False,False,False,20250219_3FRfun1,False,False,False
228,False,False,False,False,False,False,False,False,False,False,20250219_3FRfun1,False,False,False
229,False,False,False,False,False,False,False,False,False,False,20250219_3FRfun1,False,False,False
230,False,False,False,False,False,False,False,False,False,False,20250219_3FRfun1,False,False,False
231,False,False,False,False,False,False,False,False,False,False,20250219_3FRfun1,False,False,False
232,False,False,False,False,False,False,False,False,False,False,20250219_3FRfun1,False,False,False
233,False,False,False,True,False,False,False,False,False,False,20250219_3FRfun1,True,False,True
234,False,False,False,False,False,False,True,False,False,False,20250219_3FRfun1,False,False,False
235,False,True,False,False,False,False,True,True,False,False,20250219_3FRfun1,True,True,False
236,False,False,False,True,False,False,True,False,False,False,20250219_3FRfun1,True,False,True
237,False,True,False,False,False,False,False,False,False,False,20250219_3FRfun1,True,True,False
238,False,True,False,False,False,False,False,False,False,False,20250219_3FRfun1,True,True,False
239,False,False,False,False,False,False,False,False,False,False,20250219_3FRfun1,False,False,False
240,False,False,False,False,False,True,False,True,False,False,20250219_3FRfun1,False,True,True
241,False,True,False,False,False,True,False,True,False,False,20250219_3FRfun1,True,True,True
242,False,False,False,False,False,False,False,False,False,False,20250219_3FRfun1,False,False,False
243,False,False,False,False,False,False,False,False,False,False,20250219_3FRfun1,False,False,False
244,False,False,False,False,False,False,False,False,False,False,20250219_3FRfun1,False,False,False
245,False,False,False,False,False,True,False,True,False,False,20250219_3FRfun1,False,True,True
246,False,False,False,True,False,False,True,False,False,False,20250219_3FRfun1,True,False,True
247,False,False,False,False,False,False,False,False,False,False,20250219_3FRfun1,False,False,False
248,False,False,False,False,False,True,False,True,False,False,20250219_3FRfun1,False,True,True
249,True,False,False,True,False,False,False,False,False,False,20250219_3FRfun1,True,False,True
250,False,True,False,True,False,False,True,True,False,False,20250219_3FRfun1,True,True,True
251,False,False,False,False,False,False,False,False,False,False,20250219_3FRfun1,False,False,False
252,False,False,False,False,False,False,True,False,False,False,20250219_3FRfun1,False,False,False
253,False,False,False,False,False,True,False,True,False,False,20250219_3FRfun1,False,True,True
254,False,False,False,False,False,False,False,False,False,False,20250219_3FRfun1,False,False,False
255,False,False,False,True,False,False,True,False,False,False,20250219_3FRfun1,True,False,True
256,True,True,False,False,False,False,True,True,False,False,20250219_3FRfun1,True,True,False
257,False,False,False,False,False,False,False,False,False,False,20250219_3FRfun1,False,False,False
258,False,False,False,False,False,False,False,False,False,False,20250219_3FRfun1,False,False,False
259,False,False,False,True,False,False,True,False,False,False,20250219_3FRfun1,True,False,True
260,False,True,False,True,False,False,False,False,False,False,20250219_3FRfun1,True,True,True
261,False,False,False,True,False,False,True,False,False,False,20250219_3FRfun1,True,False,True
