,odor,response_rate,experiment
176,2h(-7)+farn(-2.5)_predicted,0.11207897793263646,20250321_3FLfun1
177,ma(-7)+farn(-3)_predicted,0.09175377468060394,20250321_3FLfun1
178,ma(-7)+farn(-2.5)_predicted,0.070267131242741,20250321_3FLfun1
179,2h(-7),0.062111801242236024,20250324_1FRfun1
180,ma(-7),0.014116318464144552,20250324_1FRfun1
181,farn(-3),0.03500846979107849,20250324_1FRfun1
182,farn(-2.5),0.025974025974025976,20250324_1FRfun1
183,2h(-7)+ma(-7),0.09542631281761717,20250324_1FRfun1
184,2h(-7)+farn(-3),0.034443817052512704,20250324_1FRfun1
185,2h(-7)+farn(-2.5),0.08695652173913043,20250324_1FRfun1
186,ma(-7)+farn(-3),0.05646527385657821,20250324_1FRfun1
187,ma(-7)+farn(-2.5),0.10163749294184077,20250324_1FRfun1
188,PFO,0.010163749294184076,20250324_1FRfun1
189,2h(-7)+ma(-7)_predicted,0.07453416149068323,20250324_1FRfun1
190,2h(-7)+farn(-3)_predicted,0.09203839638622248,20250324_1FRfun1
191,2h(-7)+farn(-2.5)_predicted,0.08695652173913043,20250324_1FRfun1
192,ma(-7)+farn(-3)_predicted,0.04517221908526256,20250324_1FRfun1
193,ma(-7)+farn(-2.5)_predicted,0.03896103896103896,20250324_1FRfun1
194,2h(-7),0.049876847290640396,20250324_2FLfun1
195,ma(-7),0.03633004926108374,20250324_2FLfun1
196,farn(-3),0.0708128078817734,20250324_2FLfun1
197,farn(-2.5),0.020320197044334975,20250324_2FLfun1
198,2h(-7)+ma(-7),0.08066502463054187,20250324_2FLfun1
199,2h(-7)+farn(-3),0.04187192118226601,20250324_2FLfun1
200,2h(-7)+farn(-2.5),0.09051724137931035,20250324_2FLfun1
201,ma(-7)+farn(-3),0.04064039408866995,20250324_2FLfun1
202,ma(-7)+farn(-2.5),0.08928571428571429,20250324_2FLfun1
203,PFO,0.008620689655172414,20250324_2FLfun1
204,2h(-7)+ma(-7)_predicted,0.07881773399014778,20250324_2FLfun1
205,2h(-7)+farn(-3)_predicted,0.11268472906403941,20250324_2FLfun1
206,2h(-7)+farn(-2.5)_predicted,0.06958128078817734,20250324_2FLfun1
207,ma(-7)+farn(-3)_predicted,0.10160098522167488,20250324_2FLfun1
208,ma(-7)+farn(-2.5)_predicted,0.05603448275862069,20250324_2FLfun1
209,2h(-8),0.07011572498298162,20250214_3MLfun1
210,2h(-7),0.09326072157930565,20250214_3MLfun1
211,ma(-8),0.015656909462219197,20250214_3MLfun1
212,ma(-7),0.06943498978897208,20250214_3MLfun1
213,farn(-4),0.035398230088495575,20250214_3MLfun1
214,farn(-3),0.05037440435670524,20250214_3MLfun1
215,2h(-7)+ma(-7),0.10415248468345814,20250214_3MLfun1
216,2h(-7)+farn(-3),0.08168822328114364,20250214_3MLfun1
217,ma(-7)+farn(-3),0.02518720217835262,20250214_3MLfun1
218,PFO,0.015656909462219197,20250214_3MLfun1
219,2h(-7)+ma(-7)_predicted,0.15588835942818244,20250214_3MLfun1
220,2h(-7)+farn(-3)_predicted,0.13955071477195372,20250214_3MLfun1
221,ma(-7)+farn(-3)_predicted,0.11164057181756297,20250214_3MLfun1
222,2h(-8),0.13530927835051546,20250214_4FLfun1
223,2h(-7),0.17010309278350516,20250214_4FLfun1
224,ma(-8),0.04639175257731959,20250214_4FLfun1
225,ma(-7),0.11920103092783506,20250214_4FLfun1
226,farn(-4),0.1018041237113402,20250214_4FLfun1
227,farn(-3),0.1056701030927835,20250214_4FLfun1
228,2h(-7)+ma(-7),0.25128865979381443,20250214_4FLfun1
229,2h(-7)+farn(-3),0.25257731958762886,20250214_4FLfun1
230,ma(-7)+farn(-3),0.059278350515463915,20250214_4FLfun1
231,PFO,0.043170103092783504,20250214_4FLfun1
232,2h(-7)+ma(-7)_predicted,0.27512886597938147,20250214_4FLfun1
233,2h(-7)+farn(-3)_predicted,0.26288659793814434,20250214_4FLfun1
234,ma(-7)+farn(-3)_predicted,0.21005154639175258,20250214_4FLfun1
235,2h(-8),0.0765375854214123,20250219_3FLfun1
236,2h(-7),0.18132118451025056,20250219_3FLfun1
237,ma(-8),0.022779043280182234,20250219_3FLfun1
238,ma(-7),0.11252847380410023,20250219_3FLfun1
239,farn(-4),0.03416856492027335,20250219_3FLfun1
240,farn(-3),0.1366742596810934,20250219_3FLfun1
241,2h(-7)+ma(-7),0.18724373576309794,20250219_3FLfun1
242,2h(-7)+farn(-3),0.14441913439635534,20250219_3FLfun1
243,ma(-7)+farn(-3),0.014123006833712985,20250219_3FLfun1
244,PFO,0.025056947608200455,20250219_3FLfun1
