bodyId_pre,bodyId_post,roi_pre,roi_post,x_pre,y_pre,z_pre,x_post,y_post,z_post,confidence_pre,confidence_post
425790257,970772961,CA(R),CA(R),16302,12651,15237,16304,12679,15212,0.908,0.565906
425790257,970772961,CA(R),CA(R),15751,11363,11449,15752,11400,11432,0.915,0.449723
425790257,970772961,CA(R),CA(R),15420,11435,11376,15418,11436,11363,0.957,0.98514
425790257,970772961,CA(R),CA(R),16998,13195,11383,16976,13188,11376,0.928,0.919128
425790257,970772961,CA(R),CA(R),15524,14989,10660,15539,14980,10658,0.993,0.931599
425790257,970772961,CA(R),CA(R),15853,13840,10736,15842,13838,10748,0.997,0.880454
425790257,970772961,CA(R),CA(R),14567,12209,10485,14589,12173,10499,0.957,0.510602
425790257,970772961,CA(R),CA(R),14988,12236,10459,14999,12207,10458,0.977,0.804339
425790257,970772961,CA(R),CA(R),15521,14054,10481,15523,14071,10482,0.997,0.992911
425790257,954730964,CA(R),CA(R),15004,13737,9924,14989,13723,9936,0.974,0.84252
425790257,954730964,CA(R),CA(R),12661,14282,8773,12688,14294,8763,0.964,0.520288
425790257,954730964,CA(R),CA(R),13019,14179,8866,13019,14197,8862,0.951,0.896285
425790257,954730964,CA(R),CA(R),13551,14195,8974,13561,14176,8981,0.998,0.901909
425790257,954730964,CA(R),CA(R),15461,14714,10719,15464,14708,10698,0.974,0.980731
425790257,954730964,CA(R),CA(R),15111,15038,10917,15123,15038,10900,0.993,0.944371
425790257,954730964,CA(R),CA(R),16441,14156,10892,16440,14155,10883,0.979,0.783427
425790257,954730964,CA(R),CA(R),16335,15221,11093,16369,15218,11080,0.994,0.364261
425790257,954730964,CA(R),CA(R),13796,13378,10278,13802,13356,10300,0.981,0.40657
425790257,954053261,CA(R),CA(R),10441,12684,12370,10457,12671,12380,0.962,0.900642
425790257,954053251,CA(R),CA(R),11055,12457,12456,11077,12447,12448,0.89,0.838501
425790257,954053251,CA(R),CA(R),11109,12519,12462,11106,12527,12450,0.895,0.380254
425790257,954053251,CA(R),CA(R),13624,12760,12392,13603,12721,12392,0.967,0.65152
425790257,954053251,CA(R),CA(R),13253,13349,9471,13256,13323,9479,0.986,0.46773008
425790257,954053251,CA(R),CA(R),13094,13306,9393,13084,13312,9381,0.994,0.999736
425790257,954053251,CA(R),CA(R),12223,13034,13246,12232,13053,13246,0.845,0.889067
425790257,954053251,CA(R),CA(R),14048,13108,12655,14061,13086,12642,0.996,0.717142
425790257,954053251,CA(R),CA(R),11471,11889,11354,11448,11893,11340,0.9,0.834793
425790257,954053251,CA(R),CA(R),12034,13620,13674,12028,13590,13672,0.86,0.629687
425790257,954053251,CA(R),CA(R),11982,13645,13756,11958,13646,13758,0.974,0.638903
425790257,954053251,CA(R),CA(R),13593,12704,10746,13600,12721,10734,0.971,0.826748
425790257,954053251,CA(R),CA(R),13619,12683,10727,13618,12706,10725,0.984,0.927434
425790257,954053018,CA(R),CA(R),16548,12499,14614,16570,12487,14606,0.967,0.883233
425790257,954053018,CA(R),CA(R),16700,12496,14576,16711,12501,14582,0.915,0.957475
425790257,954053018,CA(R),CA(R),16409,13769,10599,16431,13761,10592,0.991,0.716451
425790257,954053018,CA(R),CA(R),15115,12934,10664,15135,12920,10676,0.983,0.917773
425790257,954053018,CA(R),CA(R),16930,12997,10741,16931,12991,10726,0.963,0.999714
425790257,954053018,CA(R),CA(R),16231,14216,10624,16244,14181,10653,0.949,0.4785334
425790257,954053018,CA(R),CA(R),17233,12515,11241,17234,12485,11270,0.883,0.660605
425790257,954053018,CA(R),CA(R),15305,12166,10997,15316,12144,10958,0.964,0.80136
425790257,954053018,CA(R),CA(R),15192,12364,10850,15181,12382,10846,0.997,0.849377
425790257,954053018,CA(R),CA(R),15416,11793,11542,15429,11785,11520,0.973,0.836126
425790257,953712141,CA(R),CA(R),13739,12950,10205,13720,12950,10195,0.919,0.685468
425790257,953712141,CA(R),CA(R),13751,11630,10214,13737,11662,10220,0.96,0.544838
425790257,953712141,CA(R),CA(R),13444,12272,10159,13443,12296,10150,0.983,0.287872
425790257,953712141,CA(R),CA(R),12455,12385,12507,12467,12419,12513,0.976,0.524099
425790257,953712141,CA(R),CA(R),12929,12538,9662,12916,12579,9643,0.882,0.46804392
425790257,953712141,CA(R),CA(R),13004,12868,9751,13010,12875,9742,0.933,0.935697
425790257,953712141,CA(R),CA(R),13051,12396,9836,13017,12368,9825,0.936,0.46014774
425790257,953712141,CA(R),CA(R),12642,12250,12571,12663,12253,12567,0.948,0.990901
425790257,953712141,CA(R),CA(R),12462,12029,13632,12460,12049,13622,0.972,0.976611
425790257,953712141,CA(R),CA(R),12557,11354,11707,12586,11348,11705,0.705,0.438439
425790257,953029783,CA(R),CA(R),13271,14618,10008,13288,14613,10020,0.999,0.857059
425790257,953029783,CA(R),CA(R),11832,12479,12442,11821,12496,12447,0.834,0.974235
425790257,953029783,CA(R),CA(R),13001,13329,9462,12981,13336,9475,0.973,0.858994
425790257,953029783,CA(R),CA(R),11548,13917,13060,11556,13900,13080,0.994,0.942161
425790257,953029783,CA(R),CA(R),13144,13733,9746,13106,13693,9717,0.988,0.615051
425790257,953029783,CA(R),CA(R),13502,14661,9960,13524,14643,9969,0.996,0.658387
425790257,953029783,CA(R),CA(R),13522,14629,9955,13524,14643,9970,0.939,0.82599
