,2h(-7),2h(-7),2h(-7),ma(-7),ma(-7),ma(-7),2h(-7)+ma(-7),2h(-7)+ma(-7),2h(-7)+ma(-7),1o3ol(-5),1o3ol(-5),1o3ol(-5),2h(-7)+1o3ol(-5),2h(-7)+1o3ol(-5),2h(-7)+1o3ol(-5),ea(-7),ea(-7),ea(-7),eb(-7),eb(-7),eb(-7),ea(-7)+eb(-7),ea(-7)+eb(-7),ea(-7)+eb(-7),ea(-5),ea(-5),ea(-5),eb(-5),eb(-5),eb(-5),ea(-5)+eb(-5),ea(-5)+eb(-5),ea(-5)+eb(-5),PFO,PFO,PFO
35,0.26501423,1.8769896,1.3806647,-0.17062932,0.24194604,0.311312,-0.13292736,1.1338509,0.4195018,0.3176072,1.3756804,1.0887265,1.198665,0.15920225,0.37048802,-0.22666657,0.13852187,-0.45620212,-0.24980944,-0.0042152107,-0.24077216,-0.17608944,-0.53458786,0.14365241,-0.19875428,0.117845654,-0.56067514,-0.06615949,0.56610227,0.5318091,-0.46787146,-0.112764776,0.17190257,0.1067332,0.04036898,-0.5071187
36,0.13734698,0.19703856,0.56775707,-0.18753576,0.25626108,0.71730673,0.015063286,-0.023639433,-0.25923914,-0.13115406,0.08504167,-0.27148053,0.44072306,-0.22912079,0.10817252,0.14347464,-0.072105795,0.39896023,-0.013702035,0.20882994,0.06616708,0.33539864,-0.37839937,-0.6406009,0.022006154,-0.17655715,-0.05042091,-0.48567423,-0.09629132,0.13808614,-0.22628409,0.047756284,0.2575662,0.19075933,-0.5916982,0.43438733
37,0.050323963,-0.009605499,-0.4291697,0.1377781,-0.10734818,0.30383897,0.36399364,-0.21934767,-0.03352654,-0.41230154,0.4222316,0.3326893,-0.0063978434,0.1914959,-0.43916282,-0.036554635,0.00794363,-0.14807582,0.03267336,0.12317494,0.4175158,-0.025338888,0.013364598,-0.23395622,-0.4460668,-0.32986635,-0.63928705,-0.16382217,0.08483267,0.34473965,-0.434514,-0.063785434,0.34060085,-0.061950505,0.19792315,0.69151914
38,-0.062065303,-0.2599747,-0.7084789,-0.02994895,-0.48267707,0.02319558,0.116634965,0.28958723,-1.0053788,-0.3404534,0.07051641,-0.055413276,0.06090343,-0.09652805,0.07361507,-0.28533947,-0.05673921,-0.33220163,-0.22936454,-0.06776767,0.5206114,-0.15405509,-0.41386276,-0.010675728,-0.035042435,-0.031120181,0.0659738,0.19595242,0.5187351,0.65153694,0.68178886,0.24832979,-0.40778267,-0.20086685,-0.26833722,-0.3152089
39,0.20243216,0.19615996,0.024342895,-0.42862037,0.22649431,0.30462995,0.4394683,1.0764734,0.44873166,0.1088534,-0.4362264,0.19934368,-0.085422635,0.2962341,0.34358668,-0.3269006,-0.17895934,0.031062335,-0.10795063,0.2518206,0.39563403,-0.03565395,0.66705567,-0.7715775,0.43707544,0.20009062,-0.3577379,-0.39720082,-0.36224696,0.09695947,-0.2811174,0.03320782,0.055523038,-0.48565394,0.045405924,0.005820811
40,0.51975375,1.1698108,0.16402766,-0.20009679,-0.32514417,-0.05308348,-0.003905136,0.609386,-0.30291688,-0.5835655,-0.35281128,-0.062615335,0.2647254,-0.29060513,0.06595135,-0.4439348,-0.16487229,-0.28610784,0.37307733,0.13832325,-0.06810516,-0.37183404,-0.25144064,0.3801396,-0.35964495,-0.63705933,0.32505727,1.4002086,0.34005827,1.3772997,-0.37072146,-0.12356088,0.16168231,0.9202611,1.7498184,0.5740554
41,0.024476878,0.04717148,0.41262448,-0.14136177,0.27179337,-0.5412502,-0.55158615,-0.14243019,-0.04107642,0.14828801,0.8757033,0.38138688,0.0023721457,-0.11442864,0.23336297,0.17073977,0.4869071,0.8173914,-0.3719396,-0.25925124,-0.5077187,-0.2391425,0.30493093,-0.6245642,-0.36228544,-0.3881881,-0.26819527,0.051508427,0.23122059,-0.048923433,-0.3390063,0.14633596,-0.07834995,0.36699045,-0.23536927,-0.09692681
42,-0.12493652,0.17404968,-0.17374551,0.85231405,0.6365508,1.9668851,0.5028126,0.76152337,0.6465765,0.13440508,-0.048293233,0.08232266,0.14686257,-0.108918935,-0.004960537,0.044879198,-0.12922204,-0.4014888,-0.13217527,0.327688,0.21655422,-0.13001198,0.04751885,-0.060717344,-0.076785386,0.27406973,-0.23020804,-0.023661733,-0.04361991,0.55345976,0.004511237,0.09788495,-0.075740576,-0.00316903,0.1555734,0.22463489
43,0.90925336,0.37889016,0.29325795,0.289926,1.5364125,0.9437683,1.7753478,1.0300375,1.9254766,0.05331057,-0.696693,0.069869444,-0.08691706,0.7278818,-0.43905076,-0.05192882,0.7492122,0.3141924,0.024173975,0.5555319,-0.034778416,0.54161334,0.12489961,-0.29439202,0.11245066,-0.08672196,0.71643525,-0.42803353,-0.46826613,0.1920523,-0.20539847,0.54443526,-0.01785934,0.0054810047,0.37853545,-0.12326491
44,0.07589015,-0.4071418,-1.1243365,-0.1826488,-0.37418246,-0.075303435,-0.040931106,-0.2476595,-0.08936584,0.17505537,-0.16075718,-0.23457175,-0.19228286,-0.19888777,0.037796855,0.88561356,0.9738094,1.5405295,-0.0028244257,-0.08822082,0.13749212,0.13693392,0.7043455,1.6341789,1.6479005,2.8253436,3.5370402,2.205723,1.8717927,2.4902534,3.0326865,3.6098795,4.9223256,-0.2577933,0.10806027,0.07065189
