,2h(-7),2h(-7),2h(-7),ma(-7),ma(-7),ma(-7),2h(-7)+ma(-7),2h(-7)+ma(-7),2h(-7)+ma(-7),2h(-5),2h(-5),2h(-5),1o3ol(-5),1o3ol(-5),1o3ol(-5),2h(-5)+1o3ol(-5),2h(-5)+1o3ol(-5),2h(-5)+1o3ol(-5),ea(-5),ea(-5),ea(-5),eb(-5),eb(-5),eb(-5),ea(-5)+eb(-5),ea(-5)+eb(-5),ea(-5)+eb(-5),PFO,PFO,PFO
37,0.22473916,0.34731603,0.034336865,-0.21803473,-0.35535204,-0.3165532,0.0729413,-0.1426369,-0.02928698,-0.010815389,0.05690071,0.078148425,-0.4307016,0.36417353,-0.1257877,-0.7509948,-0.25756127,-0.044105053,2.2360725,1.780906,0.9718176,0.06750841,-0.27048156,-0.061023057,0.6021941,0.99591917,0.6567985,-0.1585983,-0.36942834,-0.35566
38,0.3826542,-0.072686255,0.01585871,-0.25698853,-0.034989834,-0.072250426,0.45060593,-0.02039063,-0.22569491,-0.17590815,0.016452014,0.27808344,0.25361407,-0.12333981,-0.5286867,-0.20453632,-0.2624957,0.25231534,-0.17212328,-0.81751186,0.028689742,0.36282116,-0.46054476,-0.029012114,-0.7169754,0.3832003,0.1299738,-0.03513117,-0.57179123,-0.3792938
39,-0.5394719,-0.5528796,-0.2751091,-0.6748947,-0.43174464,0.52075255,-0.4573002,0.4167952,-0.14498463,-0.09775549,0.5158144,-0.39854476,-0.22078982,-0.6017511,-0.27836442,-0.00407413,-0.3541669,0.42321494,1.422128,0.94285464,-0.33465144,1.3619349,0.09701678,1.6843671,0.5090352,0.5062523,0.02970764,-0.7536948,0.4246859,0.27686745
40,-0.16630656,-0.26205468,0.5743358,0.43718064,-0.046389997,-0.14274079,-0.12711191,-0.19899106,0.09695226,0.20228463,1.9091544,1.1871468,1.1644814,0.43330193,0.973285,1.2929349,1.1997659,0.49863443,0.22515729,-0.3678071,-0.5921877,-0.5876594,-0.34444287,0.37525272,0.027983665,-0.15339345,-0.68855697,0.16828495,-0.45531029,-0.18945816
41,-1.1569805,-0.13687056,-0.22012348,-0.13145639,0.69363374,-0.39974073,-0.07230395,0.060735047,-0.50947547,0.14580214,-0.5262946,-0.3463391,-0.32850266,-0.22606641,-0.049263142,0.7274755,-0.26839635,-0.42829356,-0.61702585,-0.5609884,-0.40538073,-0.68570685,-0.35405082,0.3405882,-0.46121305,-0.326526,-0.41504785,0.15506497,0.2966674,1.5172932
42,0.17288494,-0.21453834,0.5250367,0.92957395,1.4169205,-0.04710634,0.32634738,0.095358506,0.32288915,0.009516954,-0.04359448,0.08716732,0.5936839,0.8376,1.2458282,0.9440555,1.3032627,0.4170139,2.3653564,2.3046007,0.59204704,1.1176893,0.27399474,0.8163003,1.0327185,0.964537,1.2587769,-0.056401312,0.11268446,-0.13380831
43,0.6213654,-0.06344539,0.5744173,-0.3453623,-0.33811766,-0.12813854,-0.17863643,-0.019871116,0.5839335,-0.12367253,-0.16054383,0.17364879,-0.3671312,0.5756257,-0.0840264,-0.08161727,0.27796242,-0.3306614,0.60367656,0.1917419,0.062390745,0.51469177,-0.32581902,0.27404362,-0.31724826,0.045893908,-0.06946266,-0.15630038,0.34393212,0.14565271
44,-0.1291238,-0.1321859,0.20074669,0.61470187,0.14492148,0.025624573,-0.3090378,0.12151253,-0.29312173,0.8384951,0.77612996,0.5840813,-0.26846588,0.025471374,-0.067343414,0.6468759,-0.5085391,0.023690343,0.0656122,0.38348216,0.117577344,0.003987491,0.051744193,-0.25639623,-0.5903776,0.27144617,-0.43300873,-0.20193395,-0.5366225,-0.122357786
45,0.6689259,-0.20252055,0.12011725,1.3793511,0.44457507,0.30186227,4.2054186,1.7832199,1.2212262,-0.6239698,0.5895863,0.5200532,0.1415602,0.1422587,0.039590567,0.11929414,-0.54833627,0.3706368,0.5072196,0.18033287,0.09305161,0.060411274,-0.02739805,-0.2298987,-0.3800416,0.15360893,0.52203774,-0.12611586,0.039544493,0.07004219
46,0.6443823,0.3039666,-0.31904772,0.5151401,-0.49460673,0.19764017,-0.14791006,-0.08712569,-0.036072075,0.045498922,-0.32207906,0.039741755,0.36714053,-0.5573225,-0.7195669,0.42358577,0.8629246,-0.24897516,0.093974724,0.47843853,0.4239631,1.4766767,1.5503514,1.410555,1.263323,1.1888877,0.7913066,-0.09052417,0.24911582,0.33284408
