,2h(-7),2h(-7),2h(-7),2h(-7),ma(-7),ma(-7),ma(-7),ma(-7),2h(-7)+ma(-7),2h(-7)+ma(-7),2h(-7)+ma(-7),2h(-7)+ma(-7),2h(-5),2h(-5),2h(-5),2h(-5),1o3ol(-5),1o3ol(-5),1o3ol(-5),1o3ol(-5),2h(-5)+1o3ol(-5),2h(-5)+1o3ol(-5),2h(-5)+1o3ol(-5),2h(-5)+1o3ol(-5),ea(-5),ea(-5),ea(-5),ea(-5),eb(-5),eb(-5),eb(-5),eb(-5),ea(-5)+eb(-5),ea(-5)+eb(-5),ea(-5)+eb(-5),ea(-5)+eb(-5),PFO,PFO,PFO,PFO
35,0.20571816,0.56014144,-0.4139447,-0.070764184,0.14518203,0.080124274,0.18064722,-0.14350653,-0.026309341,-0.8262279,-0.15097591,0.46845675,-0.82492673,-0.05747193,-0.44376934,0.7882983,-0.38773733,-0.52240986,-0.32770663,-0.06741887,-0.43735927,-0.08386366,-0.24059552,0.2914728,0.2186605,1.1366436,0.10695164,-0.0474523,0.2778567,-0.24827725,-0.17406836,0.38025677,0.3727672,0.87496084,0.3059086,-0.18065876,0.19151989,-0.20059821,0.08519225,0.009844333
36,0.09922421,0.18735662,0.0912607,-0.11934012,0.98123467,0.41736773,0.16229111,0.028902352,0.32123291,0.5025276,0.22851661,0.17775917,0.112270355,0.12621209,-0.07486451,-0.058921278,-0.14281094,-0.085187435,-0.031038404,-0.11152804,-0.31344593,-0.09689295,-0.07247466,-0.06042707,-0.11483908,-0.08943303,-0.07782167,0.042075574,-0.07604718,0.14329582,-0.10027027,-0.023139656,0.023151398,-0.1738784,0.20380807,0.11651111,0.17546171,-0.011574209,0.011828899,0.06894821
37,0.45611805,0.15369543,-0.4968463,0.096379995,0.13539433,-0.18387347,-0.6042432,0.30646938,-0.68025935,-0.31443548,0.727636,0.5333709,-0.7753656,0.20932573,-0.29796612,-0.4144234,-0.2980014,-0.11255561,-0.022074733,-0.3507475,0.47608995,-0.63359195,-0.55665344,0.02199918,-0.14235795,-0.05546546,0.02021054,0.7170578,-0.19335389,-0.6171835,0.10175754,-0.5754272,0.084471926,-0.13859624,-0.449441,-0.09332305,0.9378809,0.6318041,-0.085537076,0.36693507
38,-3.2245758,0.14380394,0.17768866,0.2647944,-0.17467248,-0.28567803,-0.07688904,-0.112314254,0.017243803,-0.13126467,0.25304186,0.14379957,-0.20790386,0.2659926,0.19220674,-0.04412,0.45028156,0.63591385,0.40961438,-0.28456834,-0.1363329,-0.08215839,0.19404347,-0.42863905,-0.002516985,0.07380635,-0.16955155,-0.7478847,-0.31674153,-0.25017506,-0.019765884,0.5140284,0.36632597,0.53317535,-0.24822065,0.07836558,-0.14370753,-0.32605174,-0.41548166,-0.06649351
39,0.30151433,-0.007408984,-0.029771373,-0.091038674,-0.0490555,-0.03966038,-0.07430025,0.036754042,0.1250516,0.040558107,-0.043446563,-0.11301744,0.4652492,-0.07959871,-0.0040889382,0.048030145,0.27686083,0.018464193,0.078426465,0.032625437,0.01626204,0.02096863,-0.19013019,-0.10356861,-0.28025937,0.094996676,0.02964447,-3.5360332,-0.05181481,-0.11690026,0.13532218,-0.10064134,0.019154966,-0.069857515,-0.023454145,-0.020370305,-0.028792217,-0.14901151,0.05946037,0.022367716
40,-0.20844442,-0.21932313,0.1918802,0.39417475,-0.12129472,-0.097524375,0.004725307,-0.3311249,0.122401476,0.49191403,-0.3381907,0.42939615,-0.40180892,-0.053075746,-0.14028382,-0.34665972,-0.26571947,-0.4261041,-0.7136531,0.1889348,-0.24502844,-0.301627,0.38736305,-0.67036253,0.39255,1.4871187,1.5552496,1.1518507,0.20147815,0.358979,-0.20122124,0.7046046,0.13454318,0.5393976,0.53205395,0.99370754,-0.104748406,-0.050536297,0.5559308,-0.27823275
41,0.07322994,0.29078302,0.25905973,-0.23483068,0.32814968,-0.51995695,-0.48059234,-0.06062877,0.020778477,-0.49121234,-0.53367686,0.015311949,0.2410692,-0.24102598,-0.118931845,-0.41237608,0.43923414,-0.3418541,-0.2307558,-0.27855346,-0.47240227,-0.77985907,0.3181434,-0.025131315,0.81940806,0.1362848,-0.42337617,0.28452817,0.42891866,-0.043839328,0.09046997,-0.0022344291,0.34748197,0.3408692,-0.2080491,-0.17688927,0.07013574,0.4358253,-0.35850483,-0.35722867
42,-0.14569408,-0.18288445,0.087078124,-0.42615974,-0.0022346824,0.15459934,0.08151561,0.32182544,0.20988014,-0.2563777,-0.05063927,0.46489978,-0.14487942,0.27665475,0.32539105,-0.248748,-0.49280486,0.053514138,-0.92239237,0.1152913,-0.025338948,-0.73216015,-0.3182063,0.12721184,-0.22204703,-0.30039924,0.3742991,-0.6484045,0.83506143,-0.03727442,-1.7146287,-0.48528802,-0.10049632,0.079738766,0.01892712,0.07678002,-0.03947997,0.846547,-0.07328445,0.4111792
43,-0.5325771,-0.20608068,-0.04461986,0.28013486,-0.27483478,0.008198917,0.43271765,-0.08469355,0.1708035,-0.17831641,-0.8519356,-0.25909674,0.041577697,-0.15504932,-0.4702556,0.05490762,-0.23893726,-0.67343736,-0.13088971,0.04516142,-0.3265562,-0.35584542,-0.9549299,-0.46632534,0.015066683,-0.29197967,-0.03722924,0.15435776,0.99328005,0.48461652,0.21758509,0.32227367,1.5367808,0.58352625,0.9791693,0.7786881,-0.077424526,-0.040752172,-0.09034597,0.10624933
44,0.20644397,0.10009909,0.33753487,0.029589117,0.25644958,-0.51131356,-0.35675523,-0.05375111,-0.25350708,-0.35449028,-0.24475831,-0.043356538,0.2799917,0.057875723,-0.30207735,-0.021537066,0.21799058,0.5146079,0.19850254,0.2958383,-0.51231515,0.0025026351,-0.30300272,0.36373472,-0.7211493,0.044805765,-0.19272232,-0.22599569,0.20897162,0.40237784,0.13238013,-0.0014572144,0.5034554,0.32707974,0.30164236,0.060562134,0.42117837,-0.08262485,0.034965634,-0.007037461
