,2h(-7),2h(-7),2h(-7),ma(-7),ma(-7),ma(-7),2h(-7)+ma(-7),2h(-7)+ma(-7),2h(-7)+ma(-7),1o3ol(-5),1o3ol(-5),1o3ol(-5),2h(-7)+1o3ol(-5),2h(-7)+1o3ol(-5),2h(-7)+1o3ol(-5),ea(-7),ea(-7),ea(-7),eb(-7),eb(-7),eb(-7),ea(-7)+eb(-7),ea(-7)+eb(-7),ea(-7)+eb(-7),ea(-5),ea(-5),ea(-5),eb(-5),eb(-5),eb(-5),ea(-5)+eb(-5),ea(-5)+eb(-5),ea(-5)+eb(-5),Iaa(-2),Iaa(-2),Iaa(-2),banana,banana,banana,Bmix28,Bmix28,Bmix28,PFO,PFO,PFO
30,-0.17596507,0.44993198,-0.21169338,0.5059611,-0.371423,-0.08137399,0.08578169,0.3020975,0.014361441,0.19994915,-0.11908749,0.007137418,-0.21498537,0.25846866,0.5696676,0.00019299984,0.038815826,-0.7208166,-0.33959156,-0.10921163,-0.8567647,0.10278773,0.10036591,0.16315603,1.9143393,-0.093412936,-0.22071674,0.00848496,-0.35846096,0.7322507,0.50824946,-0.46632615,-0.25536892,-1.3457338,0.009498864,-0.8998519,-0.13077438,-0.16023773,0.62175107,0.24913001,-0.3105455,-0.44869718,-0.74016994,0.12546842,-0.5597964
31,-0.116380274,0.75301933,0.0019574761,0.60088825,-0.10908353,0.4247043,2.2536025,0.38125396,0.58955383,0.21603942,0.35294968,0.00544215,1.2398725,0.60360557,1.6090947,1.1708248,0.18526012,0.107717425,1.082021,0.754346,0.12117937,0.7977111,1.5256491,0.08951129,1.1587391,1.5841109,0.5804508,0.010029659,-0.323652,-0.58008784,0.88845706,-0.36941898,1.3342197,0.48876464,-0.25603992,-0.5831788,0.18320787,-0.8015061,-0.69785166,0.58312255,0.7792938,-0.564507,0.28284752,0.29706568,-0.37139875
32,-0.04958956,0.08667901,-0.29260343,0.13289405,0.13671863,-0.42067516,-0.09439966,0.27110606,0.31558785,-0.3330205,-0.0970099,-0.16107813,-0.10000703,0.09056565,0.056522727,-0.03307116,-0.050201327,-0.34829545,-0.04277046,-0.27172506,-0.07773161,-0.19319463,-0.35759246,-1.0686013,0.048945755,-0.10549563,-0.455258,-0.124442905,0.016576737,-0.35605097,-0.09944112,-0.18220209,-0.24713433,-0.22710903,-0.29858458,-0.4568726,-0.30243602,-0.14466774,-0.010146648,0.017326266,0.019990116,0.15747571,-0.18498102,-0.43681622,0.2639048
33,-0.023032665,0.17781037,-0.05999583,0.078249454,1.6554506,1.1794635,0.49853456,0.16287221,0.15800023,0.017526388,-0.45925233,-0.002710402,-0.27600455,0.34460598,0.14127478,-0.10914791,0.2025007,-0.378017,-0.3688109,0.18133934,0.1435586,0.046990037,-0.40019596,-0.23609683,0.11071637,0.03249383,-0.09417227,0.29350626,-0.13592154,0.52024114,-0.30982816,-0.2242625,-0.3310768,-1.0457685,0.3914906,-0.19104347,0.28000057,0.41680938,0.27982327,-0.3411732,-0.3096976,-0.6373114,-0.37386006,-0.0025465786,0.47738162
34,-0.06701064,0.07060319,-0.38198608,0.24832618,0.032467484,-0.3210683,0.21854788,-0.23741099,-0.4373538,0.18932879,0.349202,-0.32950872,0.15436733,0.029042602,0.8884394,0.06182611,-0.060763575,-0.586233,0.01791364,-0.11556819,-0.09656799,-0.07275689,0.46827686,0.22088033,0.09965724,0.29346815,-0.24607956,0.016241074,-0.24200782,0.6005264,0.012442708,-0.24726102,0.24967831,0.28963202,0.30186358,-0.22086602,0.32862073,0.21108474,0.08793068,0.29779643,-0.06428543,-0.46026924,-0.33772862,0.2835756,0.20680374
35,-0.22158194,0.3718544,-0.12292659,0.078047514,-0.073349476,0.15968049,-0.06890613,-0.31479922,0.13406068,-0.016239673,0.868155,0.27844542,0.7336548,0.67819196,0.45290482,-0.14800832,-0.22021554,0.055944085,-0.2775482,-0.001962185,-0.32488462,0.5156745,0.17648697,0.029940426,-0.23655063,-0.12165468,0.3330741,0.3569578,-0.36486518,0.30995265,0.6158574,-0.007089466,-0.14776528,-0.031056315,0.06504953,0.032972217,0.34249496,0.50889874,0.7249044,0.34609425,-0.2805933,-0.0005607605,-0.2561453,-0.143417,-0.08946571
36,-0.34474593,-0.03335483,0.31671828,-0.54848814,-0.29561478,0.017015219,0.008980632,0.47148728,0.08432102,-0.22860605,-0.0640336,-0.16780889,-0.086182326,-0.5871204,-0.10179901,0.3610342,0.13570079,-0.16494815,0.78837067,0.1024127,0.06450498,-0.06569694,-0.16426331,0.3276732,-0.026169896,-0.2806976,0.16994995,1.0984792,0.7391585,0.10503551,0.06336656,0.15033033,-0.05036193,2.1198914,1.2719288,0.39103732,2.2742238,0.5295784,0.91204,-0.25045952,-0.14006583,0.24634376,0.119801044,0.0031870604,-0.23781204
37,-0.3206016,-0.15215467,0.015269995,0.16209796,0.5922691,-0.18446472,-0.44541395,-0.14714378,0.05520092,0.41888976,0.1545189,-0.10997048,-0.5377811,0.080663264,-0.027510107,-0.42064267,-0.12519781,-1.5485724,-0.3030203,-0.044267774,-0.16062063,-0.4413811,-0.70174944,0.78239554,0.11279416,-0.9707469,0.15498108,0.101955265,0.35955805,0.2633014,0.60401684,-0.019347694,-0.20392555,0.43307418,0.03185621,0.5046789,0.11449456,-0.08203885,-0.07169169,-0.16178042,0.20509526,0.059100635,-0.08608985,-0.079817,0.30180973
38,-0.0072089434,0.020367622,-0.0387336,0.013555348,-0.04796368,-0.1342926,-0.06047082,-0.027759865,0.081005454,0.0242216,-0.081238806,-0.097079515,0.010301769,0.030719042,-0.0067589283,-0.022647798,-0.013071626,-0.12759304,0.01467675,-0.024903223,-0.18147504,-0.041754305,-0.06011772,-0.060167857,-0.023632348,-0.07493454,0.10914564,0.041551292,-0.009119868,-0.1732797,-0.018100917,0.045018584,-0.12404001,-0.109919906,-0.21393064,-0.17745388,-0.045934737,-0.08213894,0.15424562,0.055125237,0.051173747,-0.07046179,-0.012308061,-0.13710731,0.123009205
39,-0.16892314,0.05930312,-0.19850996,0.32036313,0.047953725,-0.13947868,-0.14187717,-0.6355134,0.040999383,0.943639,2.0477293,0.5406163,0.67068994,0.810705,0.13065161,0.45109507,0.10575698,0.19500318,-0.04296924,0.030637383,0.17194603,0.6928866,0.29801142,0.42161542,0.05745389,0.0011639297,0.0036725998,0.044553995,-0.13019687,0.40582302,-0.17642939,0.23531017,-0.54682934,0.6411536,1.9158745,1.259924,-0.52637964,-0.38745183,-0.06289512,-0.15877116,-0.39815962,-0.51262087,-0.12750089,0.24291658,0.19829434
