,2h(-7),2h(-7),2h(-7),ma(-7),ma(-7),ma(-7),2h(-7)+ma(-7),2h(-7)+ma(-7),2h(-7)+ma(-7),2h(-5),2h(-5),2h(-5),1o3ol(-5),1o3ol(-5),1o3ol(-5),2h(-5)+1o3ol(-5),2h(-5)+1o3ol(-5),2h(-5)+1o3ol(-5),ea(-5),ea(-5),ea(-5),eb(-5),eb(-5),eb(-5),ea(-5)+eb(-5),ea(-5)+eb(-5),ea(-5)+eb(-5),PFO,PFO,PFO
39,-0.43358755,-0.4622169,-0.47387463,-0.10524154,0.10492051,-0.1265552,-0.47005484,0.16462967,0.64466894,-0.182915,-0.3809781,-0.36466032,-0.32194284,-0.13385093,0.19223249,-0.5301169,-0.20288022,-0.10404384,-0.4762414,-0.41519558,0.117615335,0.24191055,-0.3322237,0.33410046,-0.42227423,-0.548126,0.1677034,-0.13790742,0.3365203,0.7276505
40,-0.14898373,1.6706305,-0.15184042,-0.23189107,-0.12499872,0.16209057,-0.05465468,0.040935025,0.011062443,0.036548868,-0.07406768,-0.12657343,-0.109336376,0.14271319,0.0575653,0.19736175,-0.08076672,0.14218184,0.039320365,-0.050417572,0.0384954,0.23057665,-0.0037689805,-0.1313453,0.038087122,-0.031669647,0.034300447,0.08613528,-0.013872433,0.04715526
41,-0.12752305,0.71228087,-0.46149832,0.4772822,-0.1593563,-0.38265258,-0.09483708,-0.3807985,0.02416122,-0.763587,-0.38604367,0.7086141,0.22307584,0.055668652,-0.55168045,-0.4452094,1.0787945,0.7002077,-0.42985272,0.08720857,0.010223627,0.19835526,-0.5456421,-1.0786896,-0.62926066,-0.22586423,-0.6164929,0.20175692,0.029105842,-0.22351326
42,-0.27820742,-0.2583955,-0.4692978,0.23264411,-0.066595644,0.3883591,0.043739483,-0.5700955,0.07621132,-0.3075549,-0.3478941,-0.03728576,-0.7119496,0.2890578,-0.11710484,-0.76855457,-0.27157357,0.1030319,0.35519135,0.26429376,0.4160452,0.061577298,0.028214931,0.010088682,0.2089722,-0.4599177,-0.09928401,-0.28396586,-0.121090025,0.26927218
43,0.12679696,0.18847835,-0.027639389,1.5414838,0.065185085,-0.23295209,0.24925575,0.34896615,-0.16383076,-0.32287297,-0.3580126,-0.20526892,-0.010672957,0.07188916,0.069164634,-0.580179,-0.07547307,-0.018908173,-0.003682673,0.27712137,0.50541276,0.7681275,0.046718583,1.2917054,0.7966016,0.7475118,0.5296819,-0.25446665,-0.16412055,-0.47178912
44,0.009441614,-0.26353633,-0.28257275,0.24606493,0.2928455,-0.7064204,-0.9138089,0.4150684,-0.15202004,-0.09124148,0.011429004,-0.45149997,0.29339355,0.092834175,-0.1732997,-0.09849409,-0.033497624,-0.3657435,-0.6714715,0.2800966,0.32148227,-0.1952241,-0.1810223,0.37923902,-0.38657987,0.17746079,-0.079919666,-0.2072556,-0.041617546,0.32945326
45,0.120278835,-0.07466853,0.55088305,0.6965257,-0.3238529,0.1929766,0.011198953,0.33816963,-0.3774072,0.5607885,0.24625146,0.043865204,0.10410273,0.033786237,0.653677,0.56320035,0.22188374,0.12936199,-0.015900292,0.2993632,0.11908406,-0.056604624,-0.3975725,-0.04227823,-0.03205268,-0.09669812,-0.007817119,-0.41057825,0.735498,-0.4219923
46,0.14810768,0.09336448,-0.30359536,0.33652255,-0.35858637,0.30929488,-0.3373469,-0.14511363,-0.18377641,0.10357124,0.53037184,0.7329031,-0.034772784,0.35939068,-0.39531225,0.42868263,-0.28920782,0.36758173,0.060561687,0.19696249,0.26138428,0.35547808,0.13095875,-0.10268813,0.16943426,0.043435097,0.861441,0.010077983,0.030288994,-0.16666496
47,-0.60943705,-0.3296967,-0.9223852,-0.30786082,0.64312935,0.22054487,-0.28093326,-0.4491308,0.78940535,2.9716408,4.1970525,2.5037012,-0.5631321,0.62543136,0.15361303,1.5920237,2.1528106,0.40663108,0.11820705,-0.48348975,0.14196956,-0.5318692,-0.15060598,0.3006075,-0.11347894,0.124827325,0.50731987,-0.35202196,-0.8854282,-0.18014352
48,-0.4106273,0.087653965,-0.1902372,0.046014458,-0.29293898,-0.23616548,-0.29378498,0.17714882,-1.5450239,0.18349749,-0.26027626,0.1528157,0.0027956665,-0.15691535,0.00013977289,-0.019055039,0.030375049,-0.36226398,0.021435916,-0.28788352,0.043430567,0.050893933,-0.0036435425,0.3341559,-0.52402794,0.027744293,-0.21496977,-0.22675706,-0.18449375,0.15511586
49,-0.2650205,-0.16152115,-0.06298953,-0.5042342,0.60769373,0.22857971,0.7518456,0.029718325,-0.22551459,-0.29196206,-0.34990078,0.55595076,0.060268402,-0.30263558,0.06457016,-0.47587705,-0.43995276,-0.45291308,0.24207592,2.289341,1.1435336,-0.3648112,0.115837395,0.45544612,-0.100168645,1.0455612,-0.023359716,0.17353979,-0.526085,0.10035374
50,0.070915096,-0.2498295,0.0692877,-0.04073584,-0.5104891,-0.18997419,-0.09648663,0.0077955127,-0.3758204,0.6907254,1.9449699,0.7057758,0.1320284,0.105253115,0.67347085,0.38507098,0.51828957,1.13695,0.14760995,0.20966749,-0.14790812,-0.24284995,-0.044597685,0.124687254,0.49998218,-0.053346395,-0.3479783,0.47528443,0.21693897,-0.17064153
51,0.8157706,0.029227108,0.13132179,0.31384182,0.2270349,0.22401798,0.16990462,0.45278674,0.21807519,1.6974857,0.85882044,1.1482773,0.46622717,0.085593164,0.09156573,3.5566554,2.017885,2.379488,0.34491792,-0.15364268,-0.35836667,-0.37109232,-0.30193388,-0.47615975,0.26439676,-0.3671639,0.05918464,-0.376983,-0.20691079,-0.04346797
52,-0.22500795,0.024234552,0.15155691,-0.33265495,-0.09103795,-0.042401493,0.5866399,-0.009604424,0.0062592775,-0.29388756,-0.22975773,0.8220628,0.7532213,0.48148388,0.55835116,0.3602,-0.3195136,1.0213332,0.59737706,0.55785555,0.22745305,-0.020731926,-0.05295463,0.0066810995,0.5205798,-0.21862432,0.13816868,0.40053618,-0.14412898,0.06531936
53,-0.45197013,-0.27762032,0.21269903,0.24336341,0.13112141,0.45152807,0.10399347,-0.06879335,-0.13582817,0.34981376,0.7139159,0.1317859,-0.040491194,0.124485046,0.019431524,-0.1865022,0.023249894,0.38862938,0.03487575,-1.1438835,0.262797,-0.1502921,-0.03058225,0.112440646,-0.07912655,0.013722092,-0.14157082,0.22954354,-0.16747572,0.22443879
54,0.30592763,-0.15043391,-0.2395016,-0.16553172,0.3248312,0.4122933,-0.16343045,-1.0433352,-0.31531364,-0.04469517,-0.35889214,-0.21414039,2.0617073,3.8455572,1.0120058,0.32647496,0.27571952,-0.008294761,-0.59607327,-0.0074768662,-0.65677917,-0.31572104,-0.3567626,-0.34733886,-0.94873416,0.10743971,-0.2768428,-0.36624968,-0.36183816,-0.015538603
55,0.23476353,1.10744,-0.19916052,0.16901645,0.10445214,-0.015297525,0.003961563,-0.23257983,-0.15792435,0.00013765693,0.16078663,0.21820325,-0.15689039,-0.34434044,-0.23677325,0.57932335,0.20463735,-0.057152838,0.18991041,0.598559,0.27958935,-0.31757128,0.08914226,1.17361,-0.18996562,-0.060399696,0.5346966,-0.1299938,1.5157373,0.33759284
56,1.8097527,0.98137134,1.170158,0.11257091,0.2276501,-0.39247623,0.7116017,0.70606863,0.40831527,1.1824226,1.1266582,1.4368602,2.392042,1.8294568,1.5227633,1.4942538,1.8956296,2.615478,0.030029476,0.8336353,0.46451575,0.51354885,0.007123947,0.40660977,0.017328322,-0.1755774,-0.4680249,0.37376815,0.49084827,0.05150214
57,-0.17947139,0.30425927,-0.47995123,-1.1364985,-0.023168921,-0.14316359,-0.10176087,-0.14799833,0.27693713,-0.28893715,0.69693494,-0.10341829,0.2030799,-0.6797255,-0.503202,-0.43193376,-0.41921416,0.034442484,-0.0197784,0.48608804,-0.25037825,-0.15300362,-0.0136470795,0.03687668,1.0677373,-0.016374812,-0.34960747,0.058490157,-0.29228142,0.20385353
58,-0.058002084,0.10047728,-0.3185575,-0.17869383,-0.3066994,-0.10929224,-0.58218825,-0.30032802,-0.24114832,0.2519027,0.6701069,0.6557099,0.18904662,-0.23337191,-0.33306226,-0.10939145,0.35678124,0.56784785,0.3709386,0.82252,0.43733576,0.9152627,0.33746317,0.018412888,0.6143644,0.45256087,0.520309,0.050074637,0.0016102493,-0.16339493
