,2h(-7),2h(-7),2h(-7),ma(-7),ma(-7),ma(-7),2h(-7)+ma(-7),2h(-7)+ma(-7),2h(-7)+ma(-7),1o3ol(-5),1o3ol(-5),1o3ol(-5),2h(-7)+1o3ol(-5),2h(-7)+1o3ol(-5),2h(-7)+1o3ol(-5),ea(-7),ea(-7),ea(-7),eb(-7),eb(-7),eb(-7),ea(-7)+eb(-7),ea(-7)+eb(-7),ea(-7)+eb(-7),ea(-5),ea(-5),ea(-5),eb(-5),eb(-5),eb(-5),ea(-5)+eb(-5),ea(-5)+eb(-5),ea(-5)+eb(-5),PFO,PFO,PFO
41,-0.5186052,-0.16390559,-0.7913717,0.021216005,-0.21906352,0.045285087,-0.21411532,0.1721159,-0.59077156,-0.289723,0.20394176,0.5706384,0.0756169,-0.120594196,-0.69837844,0.004126072,0.11193949,-0.89022446,0.2528258,0.34891653,0.3007811,-0.32652032,-0.077878594,-0.18296266,-0.5328312,-0.61738074,-0.34298694,0.2158302,-0.107908756,-0.69197404,-0.17908573,-0.14745378,0.82550067,-0.08723575,0.3560571,-0.1435588
42,0.34798026,-0.35740098,-0.068768755,0.2397604,0.19632652,-0.6155998,0.13109916,-0.13624957,-0.04918076,0.12630726,-0.32995397,0.56850076,1.4403394,0.010816604,0.09802699,-0.04325387,-0.100365266,0.21460696,-0.032626927,-0.08516711,0.026648045,0.21983114,0.17304394,-0.017284304,-0.40714985,-0.52482426,-0.31833375,0.082951665,0.13997468,-0.05026018,0.27814478,-0.13379496,-0.50395775,0.3175314,0.67261857,0.47301257
43,0.76684517,1.1604235,0.8910589,0.12517297,0.15767324,0.6547053,0.6920351,0.8450185,0.14463842,0.3924186,0.13275412,-0.26956028,0.22515774,-0.42075562,-0.29458955,1.4787245,1.0152458,0.4802487,-0.111919165,0.17780092,-0.079306945,1.2414714,0.8984318,0.43044317,2.0354204,1.1867924,1.0735103,0.3677739,0.2454988,0.2456135,0.33801103,1.6735065,1.103319,0.7194969,1.2493749,0.89433444
44,-0.07243714,0.28047004,0.43136948,-0.090590596,-0.06556338,-0.15843773,-0.02360797,-0.15267381,-1.4716632,0.060633183,-0.15200132,0.0015232563,0.2978444,-0.09282135,0.0058623254,0.28715885,-0.0428465,-1.0001886,-0.07205063,0.11114189,0.059503198,0.012873352,-0.011612654,-0.058793426,0.08385825,-0.33497405,-0.29698554,0.10372788,0.034894824,-0.30454648,-0.06902063,0.1288175,-0.50715804,0.14606279,0.060178988,0.36342368
45,-0.033854097,0.17469527,0.10772294,0.11556858,0.022032201,-0.61105263,0.14376065,-0.35315955,-0.15539986,0.089405596,-0.14685856,-0.31257486,0.24144268,-0.21580403,0.6241691,0.094406426,-0.068559885,-0.27359295,0.13979751,-0.16634934,-0.021488205,0.087524116,0.46987855,-0.23185244,-0.17756659,0.10245645,-0.1434997,-0.043905243,0.37749177,-0.49256575,0.3962239,-0.12745106,-0.41407192,0.19587481,-0.030090153,0.32044545
46,0.17541134,-0.20767659,-0.38096654,-0.13277948,0.12497726,0.5584824,0.07727325,-0.2874697,-0.06967518,-0.064925134,0.31563732,0.3223169,0.0851568,0.30623594,0.2847456,0.14928836,0.60103774,-0.23813072,0.11884284,-0.035892367,0.15613082,-0.08322966,-0.12098876,0.44738576,-0.014992654,-0.14407793,0.17708458,0.14823407,0.54209876,-0.5202114,-0.11293584,-0.16269319,0.41674095,0.25481877,0.051583543,0.082954675
47,0.12547266,-0.20496702,-0.17498991,-0.2144624,-0.09646642,0.38488173,-0.0930115,-0.055981517,-0.3898931,-0.02587843,0.8572428,-0.48141003,0.116381764,0.28905365,0.19120595,-0.12524348,0.3943607,0.089428544,-0.16574335,-0.06304538,0.04641801,0.172476,-0.025198221,0.05526769,0.19221938,0.2834861,0.12884185,0.36844093,-0.44185448,-0.06742957,-0.15590525,-0.09265697,0.36471346,-0.15421963,-0.6245281,0.19380347
48,0.56959265,0.6665225,0.18425879,-0.22023028,-0.04044366,0.40446585,-0.043149084,-0.020245194,-0.42945874,-0.11883706,0.32450137,-0.14798886,-0.36292243,-0.38649297,-0.4895798,0.28164095,-0.1869834,-0.021901608,-0.020942569,-0.009465754,-0.025896072,-0.08380297,0.10651189,0.123817086,-0.38152272,-0.60819995,0.0627504,0.15471458,0.1471805,-0.04683423,-0.10298121,-0.566339,-0.607264,-0.08399166,0.81463563,0.15648091
49,0.19321269,0.2519375,0.016374707,0.2350598,0.43917608,0.10133803,0.24819994,0.08102924,-0.13575745,0.1757766,0.24199575,-0.44006205,-0.26225692,0.63229,-0.25162002,-0.039397717,-0.078310795,0.0010621548,0.06332362,-0.2974997,-0.45950568,0.13677105,0.08866482,0.46201718,0.52377504,-0.039120466,0.60401696,-0.40518206,0.8092793,0.2129254,0.14313626,0.7557343,-0.48630401,-0.29277235,-0.26585615,-0.7153723
50,-0.11459327,0.40558422,-0.2823392,0.14909661,0.24396789,0.8712783,0.35094228,0.6708136,0.25483102,-0.27183646,-0.65563256,-0.38463354,-0.021971822,-0.3215033,0.0048954785,-0.5190271,-0.21511604,-0.20439503,0.16642165,-0.17405845,-0.07864195,0.0006686449,0.0015092194,0.1889256,2.4492877,1.1788878,-1.2584943,0.13391179,0.21338874,0.09828293,2.095173,1.4133558,0.85043937,-0.15483892,-0.6514843,0.16616362
