,2h(-7),2h(-7),ma(-7),ma(-7),2h(-7)+ma(-7),2h(-7)+ma(-7),2h(-5),2h(-5),1o3ol(-5),1o3ol(-5),2h(-5)+1o3ol(-5),2h(-5)+1o3ol(-5),ea(-5),ea(-5),eb(-5),eb(-5),ea(-5)+eb(-5),ea(-5)+eb(-5),PFO,PFO,air,air
73,0.026118755,-0.010632962,-0.017216206,-0.03152275,-0.008621335,-0.20696628,0.058679104,0.14266706,0.02020228,-0.06630857,-0.023235798,0.0007946342,-0.011040986,0.267345,0.011312962,-0.4766307,-0.045831203,-0.21303034,0.044078827,-0.031236827,0.029332876,0.0878073
74,-0.2952424,-0.4193678,-0.15613367,-0.20829237,0.095229775,0.111107,-0.36984885,0.47110036,1.65977,0.5161634,2.2615795,0.50392926,0.049319312,-0.14728191,-0.16664892,0.17762986,-0.22138506,-0.28114024,-0.116832316,-0.03283894,0.43669397,-0.10176852
75,-0.15104628,0.039278567,-0.090681314,-0.034903705,0.07151127,0.15809286,-0.34461355,-0.014657319,0.4491688,0.48113617,0.3772505,0.5484844,0.26254344,-0.064033866,0.023546994,0.074496925,0.20768899,0.07538521,0.052689403,0.13457185,-0.29091033,-0.1341232
76,0.080230534,-0.051195145,0.347469,0.015080735,0.14400005,0.11951417,0.48918137,0.035819873,0.85646427,3.2650726,0.05834067,0.07839357,-0.01972133,-0.07028636,0.13375881,0.47736752,0.061767906,-0.015490428,0.085053265,-0.3898385,0.050169915,0.026396738
77,0.045129597,-0.022746444,0.7383154,1.0501503,0.04096371,-0.09270525,-0.20222837,0.2404052,-0.17485894,-0.008627832,-0.002080679,-0.67990065,-0.052884698,-0.3705572,-0.24645509,0.003699243,0.003607452,0.2547664,0.18890512,-0.022985816,-0.12644896,-0.59855837
78,0.20861106,0.304205,-0.13895367,1.0191315,0.41714412,0.010657057,-0.2704838,0.18708551,-0.30738768,0.13038999,-0.33123624,-0.79790056,1.0563424,0.7633805,0.32903573,-0.14387631,0.5914272,0.22359681,0.12454757,-0.20614529,-0.19497633,0.1713798
79,0.017568588,0.020190358,-0.14252087,0.057646215,-0.0033794045,-0.13282442,-0.085956514,-0.13301587,0.081333995,-0.12637544,-0.012314856,-0.054795206,0.17256933,-0.10686517,0.09114939,-0.37691575,0.06367749,-0.16599143,-0.11831343,-0.03493184,-0.046424627,0.028168082
80,0.19329926,-0.12828529,0.102199554,0.08163798,0.18308407,0.21708262,0.18513173,0.1307804,0.24940914,-0.09314096,0.023503542,-0.27956927,0.024792045,-0.014796823,0.021627426,-0.28106838,0.10481614,-0.024128854,-0.0029395819,-0.19564772,0.112155914,0.13628651
81,0.09475464,0.1580733,-0.2932139,0.2910713,0.38341445,0.05673927,-0.1665006,-0.44591355,-0.11283171,-0.28143334,0.004671693,-0.38135695,0.66110575,0.012299299,0.098477185,-0.17564398,0.80711144,0.1458193,1.0990453,0.02246821,-0.17322701,-0.27604812
82,-0.0006366372,0.03396201,-0.0377118,-0.009708613,0.0065843463,0.37666857,0.030947208,-0.31438816,-0.1588223,-0.2572819,-0.008929253,-0.009398274,-0.051971078,0.27632517,-0.027799845,-0.5545863,-0.102057695,-0.14108253,0.18290019,-0.017811358,-0.015461564,0.0018419474
83,1.1405485,-0.26306915,-0.0023447871,0.3509511,0.1858831,0.2861277,0.06299651,-0.09284413,-0.24034941,-0.23819657,-0.33061898,-0.53806436,-0.49526948,-0.06874308,0.077262506,-0.24637443,-0.18311483,-0.0024248958,0.12889838,-0.14239931,-0.27502853,0.08487895
84,0.11947441,0.057997942,-0.12677217,-0.27499762,0.052599907,-0.13468683,-0.1641587,-0.25984544,-0.29353833,-0.13236117,-0.11294374,-0.16510087,-0.03670919,-0.07314998,0.12304355,-0.16423541,0.2469074,0.13524032,-0.061498106,-0.02563548,-0.2840947,0.09489912
85,0.46531802,0.25775117,-0.092116565,0.67325944,0.25045222,-0.6466695,-0.18395941,-0.8958981,0.17225921,0.23358423,0.33761483,0.12491448,0.60536134,-0.17196953,0.15416385,0.6518975,0.040530086,-0.0475716,0.10384887,0.04585105,0.024287479,0.13788381
86,-0.032901406,-0.023366153,-0.638703,0.17138866,-0.19245248,-0.2645175,-0.19611233,0.09177256,-0.33614373,0.2442177,-0.01954037,0.18699175,-0.335801,-0.23336118,0.10834935,0.13742113,-0.20312637,-0.12313813,0.2435586,0.0736019,-0.19351864,-0.3808534
87,-0.44050694,0.07839048,0.32805032,0.72002625,-0.071309544,0.14614892,-0.047604978,0.18503535,-0.19908023,-0.14322495,0.24738486,-0.6800817,-0.025394738,-0.12244606,0.17816697,-0.22318494,-0.047822803,-0.3149171,0.074302316,-0.13518417,0.33712652,0.070590615
88,0.014870644,-0.2002514,0.005954087,-0.013605505,-0.016591787,0.08582303,-0.026725054,0.063264295,0.01740235,-0.36325884,-0.028974742,-0.016605586,0.0077914596,0.14301908,-0.020372808,0.6920084,0.012038946,-0.14504206,-0.017172337,-0.062717944,0.03204578,-0.0547764
