,2h(-7),2h(-7),2h(-7),ma(-7),ma(-7),ma(-7),2h(-7)+ma(-7),2h(-7)+ma(-7),2h(-7)+ma(-7),1o3ol(-5),1o3ol(-5),1o3ol(-5),2h(-7)+1o3ol(-5),2h(-7)+1o3ol(-5),2h(-7)+1o3ol(-5),ea(-7),ea(-7),ea(-7),eb(-7),eb(-7),eb(-7),ea(-7)+eb(-7),ea(-7)+eb(-7),ea(-7)+eb(-7),ea(-5),ea(-5),ea(-5),eb(-5),eb(-5),eb(-5),ea(-5)+eb(-5),ea(-5)+eb(-5),ea(-5)+eb(-5),Iaa(-2),Iaa(-2),Iaa(-2),banana,banana,banana,Bmix28,Bmix28,Bmix28,PFO,PFO,PFO
24,0.9394576,0.45857275,0.5807052,-0.031787038,0.10450874,-0.5095109,1.2759695,1.3118957,1.161469,-0.21116433,0.3288977,-0.27792412,1.6077924,0.6329932,-0.040232956,0.5232205,0.57252336,0.691968,-0.42464626,-0.056506395,-0.10826087,0.4740327,0.617965,1.3908833,3.5824115,2.7063687,2.159182,-0.3129593,0.14909232,0.35634518,0.96806765,0.6996955,1.0832047,-0.14948401,0.05006911,-0.20589823,1.2212259,0.48301232,0.35307756,2.3792598,1.7467126,2.19756,0.2127952,0.17305368,-0.4364303
25,-0.018141389,0.1835208,0.056114674,0.24488825,-0.24084288,0.038783133,0.01356557,-0.076937586,0.0041775405,0.0759792,-0.12772623,-0.026080042,0.0688408,-0.05193916,0.026567847,0.25838897,-0.07422432,-0.24723303,0.07175279,-0.017653078,0.47481024,-0.43135223,0.027655482,-0.36585915,-0.04935032,0.059587628,-0.2888375,0.014475673,0.033764213,1.4868876,0.04538971,0.30989152,1.0342876,0.09001749,0.60421336,0.011048943,0.024760753,0.031186193,-0.15519005,0.16556787,-0.023467988,-0.08629334,0.08094877,-0.6369622,0.8028828
26,-0.2850201,-0.14491338,-0.20067552,-0.82138526,-0.018073082,-0.28530276,-0.19658634,-0.1862886,0.011998415,-0.35293174,-0.083853364,0.45513153,-0.15402466,-0.050126553,-0.28109434,-0.22069716,-0.2548414,0.09023169,-0.30114323,-0.10302031,0.024646759,-0.2044012,-0.11412988,0.22428441,1.3552626,0.32724482,0.524858,-0.25720847,0.009320796,-0.2282992,0.21745837,0.48742282,0.04608375,-0.12219864,-0.3179015,-0.21839523,-0.13732168,0.13693535,-0.02563794,0.19451356,-0.91480017,-0.11414218,0.03797772,0.0008728206,0.058879495
27,0.32708007,0.48015457,0.29987302,-0.19088626,0.19867925,0.28341448,-0.44069225,0.46803284,-0.16223955,-0.24519634,0.01597093,0.16164649,-0.14439493,-0.079136774,0.24745366,-0.067762256,0.1314556,0.07404035,-0.04782951,0.28974384,-0.35804605,0.20365858,-0.22292456,-0.17197192,-0.10877931,-0.42299396,-0.05833292,0.006405972,0.00030857325,-0.3958701,0.63519174,0.393792,-0.050402373,0.032034695,0.3110087,0.33122247,-0.29146767,0.15928242,0.20604427,0.08308607,-0.15841675,-0.25120458,-0.7068931,-0.5523803,0.18441987
28,0.15460134,0.09260839,-0.075716436,-0.36350104,0.6076859,-0.16090298,0.36151457,0.20377183,0.060975045,-0.17376027,0.07224214,-0.12579894,-0.02164346,-0.14304155,-0.121554315,1.8302153,2.332136,1.778199,-0.011912644,-0.023758411,0.02905649,1.860703,1.1455406,2.2715805,5.698617,4.987096,4.0527563,-0.4020004,0.19106984,0.3022432,2.2426815,2.1606438,2.9491715,-0.15080005,-0.023314357,-0.2710442,-0.36757043,0.14172584,-0.4454079,0.54135615,0.0974132,0.20238489,-0.0740397,-0.033731937,0.020892143
29,-0.531941,0.12804323,-0.5909966,-0.2578856,-0.22542232,-0.18213412,-0.122594,-0.050936177,-0.19468701,-0.42833352,-0.09272736,-0.16007814,0.09325355,-0.460597,0.2734288,-0.48788762,-0.249235,0.07717615,-0.1444417,0.026697576,0.03987944,-0.022980034,0.028840482,-0.6842656,-0.31831914,0.121963695,-0.07856165,-0.17916584,0.8779222,-0.025025487,1.2965124,1.3052835,0.47812405,0.73993915,0.09055443,0.4873339,1.3101044,-0.13115841,0.08984867,0.08828823,-0.39075845,0.08542839,-0.1701788,-0.11822736,-0.17457832
30,1.8579893,2.9306722,1.0829911,-0.121001735,-0.5462318,0.15615378,-0.2095885,0.7099981,0.4047866,0.77263975,0.7939305,0.56670684,2.8785229,4.2222323,3.9751754,0.30137408,-0.040449023,0.24256964,0.09787482,0.18694295,0.08696045,0.09190941,-0.13005364,-0.3096109,-0.09894657,-0.24875665,-0.17361635,0.5170471,0.31982595,0.1273737,0.0878475,-0.52484465,-0.10529864,-0.20227778,0.197043,0.29948586,0.12620652,0.16584164,-0.008829653,-0.1301511,-0.24896726,-0.3096769,0.5872073,0.7259759,0.18611526
31,-0.20243004,0.42754573,-0.64732534,0.118782915,-0.32436332,-0.044850945,-0.09008516,-0.30936667,0.433398,1.1119381,0.40576276,0.1703896,1.6265421,-0.24241811,0.6184685,0.012695447,-0.9576132,0.100415535,0.5908336,-0.21756566,0.5060184,0.30282772,-0.40364957,-0.1327416,-0.5225717,-0.32904038,-0.012104288,-0.29307544,0.32746643,0.15289639,-0.07567559,-0.9489615,-0.21321306,0.21672913,0.27302667,0.57133126,-0.23034576,-0.28790325,0.10233453,-0.024559557,0.12764812,-0.032030314,0.22248548,0.38617718,0.12878
32,-0.56017244,0.20981601,-0.010555681,0.14387864,0.48125112,-0.5423683,-0.10102953,-0.63105273,0.09464439,-0.0893709,0.54622185,-0.08732152,-0.61011666,-0.28579766,-0.19350287,-0.47043106,-0.3856622,0.031008735,-0.21613377,0.3525332,0.62693995,-0.5468989,-0.3364622,0.077851355,-0.22052494,-0.28778523,-0.46107033,-0.20508446,0.15647525,0.095552385,0.513965,0.09414154,-0.14978918,0.14820342,-0.38381034,-0.06890043,-0.34979826,0.3536834,0.42437017,0.6651988,0.16952407,-0.031594664,0.26087722,0.8181441,1.1267234
33,0.41792595,0.25109974,0.21232015,0.26694334,0.5559523,-0.11617784,-0.3298332,0.18269879,0.43793067,-0.2292455,-0.33528695,-0.32472694,-0.42998976,-0.08851082,-0.1600606,0.43692964,-0.3100105,0.22358882,-0.21625984,-0.37576628,-0.15622067,-0.4542485,-0.16602452,-0.30244005,-0.35231104,-0.6846023,0.09081158,-0.020329893,-0.33348438,0.044342056,-0.5093875,-0.9531127,-0.4175598,-0.37704366,-0.15942138,0.10527283,-0.37016666,-0.3129385,-1.1642562,-0.5297223,-0.34537578,-0.19604293,0.088014916,0.023606896,-0.71014845
