fly_id,odor,glomerulus,delta_f_over_f,to-avg-max_scaled_delta_f_over_f (X_train),hallem_delta_spike_rate (y_train),date,fly_num
1,a-terp @ -3,DM6,0.03993060168535842,0.046014336345151056,19,2023-04-22,2
1,carene @ -3,DM6,0.002426308556454521,0.0027959753492708766,2,2023-04-22,2
1,2h @ -3,DM6,1.032693832373954,1.1900326901871385,170,2023-04-22,2
1,IaA @ -3,DM6,1.3860939772709504,1.597276068582766,129,2023-04-22,2
1,pa @ -3,DM6,1.2290008374504102,1.4162485791856128,216,2023-04-22,2
1,2-but @ -3,DM6,0.005975907880425527,0.006886383464598944,67,2023-04-22,2
1,eb @ -3,DM6,0.6023973146265124,0.6941771843824726,167,2023-04-22,2
1,ep @ -3,DM6,0.32921664545412915,0.37937533658310235,11,2023-04-22,2
1,B-cit @ -3,DM6,0.01079965118202598,0.012445061204331087,6,2023-04-22,2
1,Lin @ -3,DM6,0.42438000106710366,0.48903756224684075,84,2023-04-22,2
1,6al @ -3,DM6,0.0776740783053244,0.0895083222788336,29,2023-04-22,2
1,t2h @ -3,DM6,0.056047444663476144,0.06458670446173327,117,2023-04-22,2
1,1-8ol @ -3,DM6,0.1550668247742635,0.17869244964956046,44,2023-04-22,2
1,1-5ol @ -3,DM6,0.5887147490512382,0.6784099745766633,148,2023-04-22,2
1,1-6ol @ -3,DM6,0.9468908348317514,1.091156945227433,173,2023-04-22,2
1,benz @ -3,DM6,1.4111777151415887,1.6261815070799872,200,2023-04-22,2
1,ms @ -3,VA5,0.15344406227770496,0.17682244679026665,48,2023-04-22,2
1,ms @ -3,VA5,0.12310132415138107,0.14185675885049642,48,2023-04-22,2
1,a-terp @ -3,VA5,0.033922045113273805,0.03909032990930144,-3,2023-04-22,2
1,carene @ -3,VA5,0.008672327102785033,0.009993622919762872,-6,2023-04-22,2
1,2h @ -3,VA5,0.1496033193866527,0.1723965371434073,21,2023-04-22,2
1,IaA @ -3,VA5,0.05689822547756268,0.06556710828444186,11,2023-04-22,2
1,pa @ -3,VA5,0.09507525339790636,0.1095607003977571,8,2023-04-22,2
1,2-but @ -3,VA5,-0.010745149945958198,-0.01238225628525147,3,2023-04-22,2
1,eb @ -3,VA5,0.05738042271914424,0.06612277198902795,-3,2023-04-22,2
1,ep @ -3,VA5,0.06709470918400934,0.07731710480348575,-5,2023-04-22,2
1,B-cit @ -3,VA5,0.012903677080216521,0.01486965165055389,-5,2023-04-22,2
1,Lin @ -3,VA5,0.02932149184994078,0.03378884692888318,-8,2023-04-22,2
1,6al @ -3,VA5,0.07846124174056597,0.09041541612513272,-4,2023-04-22,2
1,t2h @ -3,VA5,0.0902558663753333,0.10400704264970852,6,2023-04-22,2
1,1-8ol @ -3,VA5,0.006612950364058817,0.007620484276277947,-6,2023-04-22,2
1,1-5ol @ -3,VA5,0.15904383745173487,0.18327539083417071,44,2023-04-22,2
1,1-6ol @ -3,VA5,0.1878195437225265,0.21643529754799798,31,2023-04-22,2
1,benz @ -3,VA5,0.43250087932542286,0.49839571884414896,101,2023-04-22,2
1,ms @ -3,VA6,-0.10085170948034584,-0.11621724404703115,-5,2023-04-22,2
1,ms @ -3,VA6,-0.020718760034884664,-0.02387542267486619,-5,2023-04-22,2
1,a-terp @ -3,VA6,0.14779102698639857,0.1703081280400796,3,2023-04-22,2
1,carene @ -3,VA6,-0.012792826124584147,-0.014741911698202511,-5,2023-04-22,2
1,2h @ -3,VA6,-0.23622624611446955,-0.27221713381417245,32,2023-04-22,2
1,IaA @ -3,VA6,-0.1451829164290098,-0.167302651755032,39,2023-04-22,2
1,pa @ -3,VA6,-0.23054544328223156,-0.2656708169243638,21,2023-04-22,2
1,2-but @ -3,VA6,-0.1440678838389838,-0.16601773536339962,17,2023-04-22,2
1,eb @ -3,VA6,-0.08988318983645267,-0.1035775859702644,27,2023-04-22,2
1,ep @ -3,VA6,0.05869053778727599,0.06763249317657444,18,2023-04-22,2
1,B-cit @ -3,VA6,0.15061273197625927,0.1735597415142099,5,2023-04-22,2
1,Lin @ -3,VA6,-0.02482260934953906,-0.028604525035063447,12,2023-04-22,2
1,6al @ -3,VA6,-0.031244652841208545,-0.03600501630682965,8,2023-04-22,2
1,t2h @ -3,VA6,-0.052600983290460646,-0.06061514815842177,-6,2023-04-22,2
1,1-8ol @ -3,VA6,-0.02049491433502039,-0.023617472358862128,35,2023-04-22,2
1,1-5ol @ -3,VA6,0.05356878123881733,0.06173039757691878,55,2023-04-22,2
1,1-6ol @ -3,VA6,-0.034991659179603375,-0.04032290791539846,58,2023-04-22,2
1,benz @ -3,VA6,-0.08853710939510624,-0.10202641980793592,-10,2023-04-22,2
1,ms @ -3,VC3,0.09767822347465471,0.1125602530103535,2,2023-04-22,2
1,ms @ -3,VC3,0.27300095658145124,0.31459475461129954,2,2023-04-22,2
1,a-terp @ -3,VC3,0.1521341223835739,0.17531292746582883,18,2023-04-22,2
1,carene @ -3,VC3,0.0986714050108583,0.11370475340177692,-4,2023-04-22,2
1,2h @ -3,VC3,0.2738564319193639,0.3155805682046902,119,2023-04-22,2
1,IaA @ -3,VC3,-0.046828184290426844,-0.05396281877621995,22,2023-04-22,2
1,pa @ -3,VC3,0.57755493518171,0.6655498771258892,191,2023-04-22,2
1,2-but @ -3,VC3,-0.03081565758177214,-0.035510660316060295,13,2023-04-22,2
1,eb @ -3,VC3,0.0701326209906854,0.08081786586791403,121,2023-04-22,2
1,ep @ -3,VC3,0.027725409397387057,0.031949589023752986,1,2023-04-22,2
1,B-cit @ -3,VC3,0.013445429625676934,0.015493944368181477,11,2023-04-22,2
1,Lin @ -3,VC3,0.12942008854023018,0.14913823565280765,26,2023-04-22,2
1,6al @ -3,VC3,0.18376563150485078,0.211763740586054,185,2023-04-22,2
1,t2h @ -3,VC3,0.4423283006974037,0.509720423540038,227,2023-04-22,2
1,1-8ol @ -3,VC3,0.9119559163544885,1.050899422897319,222,2023-04-22,2
1,1-5ol @ -3,VC3,0.7735977092744105,0.8914612775154729,188,2023-04-22,2
1,1-6ol @ -3,VC3,0.4187629666488819,0.4825647293799842,237,2023-04-22,2
1,benz @ -3,VC3,-0.12024126669006728,-0.1385609496105468,83,2023-04-22,2
1,ms @ -3,VC4,0.002179374002255721,0.002511418414174407,-2,2023-04-22,2
1,ms @ -3,VC4,0.01587484996217362,0.018293505601146783,-2,2023-04-22,2
1,a-terp @ -3,VC4,0.09369500539794647,0.10797016098614678,18,2023-04-22,2
1,carene @ -3,VC4,0.017433357109687714,0.020089463314158933,11,2023-04-22,2
1,2h @ -3,VC4,0.15424627430118448,0.17774688199310623,36,2023-04-22,2
1,IaA @ -3,VC4,0.12882198144647874,0.1484490023374882,48,2023-04-22,2
1,pa @ -3,VC4,0.17030295017679584,0.19624991608578726,17,2023-04-22,2
1,2-but @ -3,VC4,-0.043542891453882265,-0.05017698627701902,21,2023-04-22,2
1,eb @ -3,VC4,0.622740595783874,0.7176199210813802,112,2023-04-22,2
1,ep @ -3,VC4,0.1427914325487869,0.16454680688959056,47,2023-04-22,2
1,B-cit @ -3,VC4,0.02984525578009482,0.034392410327137794,19,2023-04-22,2
1,Lin @ -3,VC4,0.05289893421106114,0.06095849419620226,7,2023-04-22,2
1,6al @ -3,VC4,0.08411684883803493,0.09693269851595589,15,2023-04-22,2
1,t2h @ -3,VC4,0.18583856863625348,0.214152505652464,47,2023-04-22,2
1,1-8ol @ -3,VC4,0.16927121544296111,0.19506098862018753,11,2023-04-22,2
1,1-5ol @ -3,VC4,0.5150922108735474,0.5935704757635468,126,2023-04-22,2
1,1-6ol @ -3,VC4,0.5105860211956689,0.5883777333874914,109,2023-04-22,2
1,benz @ -3,VC4,0.018996122579290328,0.021890328137421793,6,2023-04-22,2
1,ms @ -3,VM2,0.3962561014274759,0.4566287699237934,12,2023-04-22,2
1,ms @ -3,VM2,0.42235216844211915,0.4867007737057374,12,2023-04-22,2
1,a-terp @ -3,VM2,-0.014016396716967028,-0.016151902692667943,6,2023-04-22,2
1,carene @ -3,VM2,0.15800613218507806,0.18207958317909623,7,2023-04-22,2
1,2h @ -3,VM2,1.3206590337559845,1.521871607529337,71,2023-04-22,2
1,IaA @ -3,VM2,1.9026751616148203,2.1925623743909566,96,2023-04-22,2
1,pa @ -3,VM2,1.5448928707298861,1.7802691963205979,89,2023-04-22,2
1,2-but @ -3,VM2,0.5356305512312663,0.6172379904340758,25,2023-04-22,2
1,eb @ -3,VM2,1.9897081440637792,2.29285550192969,199,2023-04-22,2
1,ep @ -3,VM2,1.6312670798734554,1.8798031813678593,168,2023-04-22,2
1,B-cit @ -3,VM2,0.7483160551475122,0.8623277686962596,7,2023-04-22,2
1,Lin @ -3,VM2,-0.07079051972771756,-0.0815760005438047,1,2023-04-22,2
1,6al @ -3,VM2,0.9551804760047222,1.1007095770690303,44,2023-04-22,2
1,t2h @ -3,VM2,1.2380257340956526,1.4266484883326538,84,2023-04-22,2
1,1-8ol @ -3,VM2,0.5981881108402165,0.6893266759855776,28,2023-04-22,2
1,1-5ol @ -3,VM2,1.6114852588360806,1.8570074475618468,109,2023-04-22,2
1,1-6ol @ -3,VM2,1.3271919528117317,1.5293998671111861,73,2023-04-22,2
1,benz @ -3,VM2,1.0629544170175522,1.2249037079284515,12,2023-04-22,2
1,ms @ -3,VM3,0.15139648462166655,0.17446290491057806,13,2023-04-22,2
1,ms @ -3,VM3,0.08744695118418518,0.10077016759861489,13,2023-04-22,2
1,a-terp @ -3,VM3,0.16942553306954108,0.19523881772552856,7,2023-04-22,2
1,carene @ -3,VM3,0.058771085326892424,0.06772531275412275,1,2023-04-22,2
1,2h @ -3,VM3,0.3292621869163968,0.37942781663784697,106,2023-04-22,2
1,IaA @ -3,VM3,0.6222466989984192,0.7170507753173173,139,2023-04-22,2
1,pa @ -3,VM3,0.34863407490697124,0.40175116094061347,85,2023-04-22,2
1,2-but @ -3,VM3,0.3284702381032661,0.3785152083244866,94,2023-04-22,2
1,eb @ -3,VM3,0.3553820597448433,0.40952725323264827,121,2023-04-22,2
1,ep @ -3,VM3,0.1896555707521621,0.21855105743426634,58,2023-04-22,2
1,B-cit @ -3,VM3,0.061484591135600286,0.07085224206864364,6,2023-04-22,2
1,Lin @ -3,VM3,0.06634495842740419,0.07645312374551658,6,2023-04-22,2
1,6al @ -3,VM3,0.046992585777935546,0.05415226809635485,34,2023-04-22,2
1,t2h @ -3,VM3,0.05044041539079194,0.0581254011013834,38,2023-04-22,2
