olfactometer_name	olfactometer_abbrev	cid	MolecularWeight	CanonicalSMILES	IsomericSMILES	InChI	InChIKey	IUPACName	name
1-hexanol	1-6ol	129648329	106.20	CCCCCCO	[2H]C([2H])(C)CC([2H])([2H])CCO	InChI=1S/C6H14O/c1-2-3-4-5-6-7/h7H,2-6H2,1H3/i2D2,4D2	ZSIAUFGUXNUGDI-BYUTVXSXSA-N	3,3,5,5-tetradeuteriohexan-1-ol	3,3,5,5-tetradeuterohexanol
1-hexanol	1-6ol	131701195	107.21	CCCCCCO	[2H]C(CCC)C([2H])([2H])C([2H])([2H])O	InChI=1S/C6H14O/c1-2-3-4-5-6-7/h7H,2-6H2,1H3/i4D,5D2,6D2	ZSIAUFGUXNUGDI-FIFBNPHPSA-N	1,1,2,2,3-pentadeuteriohexan-1-ol	n-hexyl-5,5,6,6,6-d5alcohol
1-hexanol	1-6ol	134906477	105.19	CCCCCCO	[2H]C(C([2H])([2H])CCCC)O	InChI=1S/C6H14O/c1-2-3-4-5-6-7/h7H,2-6H2,1H3/i5D2,6D	ZSIAUFGUXNUGDI-JQCZWRKMSA-N	1,2,2-trideuteriohexan-1-ol	1,2,2-trideuteriohexan-1-ol
1-hexanol	1-6ol	169441198	106.20	CCCCCCO	[2H]C([2H])(CC)C([2H])([2H])CCO	InChI=1S/C6H14O/c1-2-3-4-5-6-7/h7H,2-6H2,1H3/i3D2,4D2	ZSIAUFGUXNUGDI-KHORGVISSA-N	3,3,4,4-tetradeuteriohexan-1-ol	1-hexanol-d4
1-octanol	1-8ol	957	130.23	CCCCCCCCO	CCCCCCCCO	InChI=1S/C8H18O/c1-2-3-4-5-6-7-8-9/h9H,2-8H2,1H3	KBPLFHHGFOOTCA-UHFFFAOYSA-N	octan-1-ol	1-octanol
1-octanol	1-8ol	10057544	131.23	CCCCCCCCO	[H][C@@]([2H])(CCCCCCC)O	InChI=1S/C8H18O/c1-2-3-4-5-6-7-8-9/h9H,2-8H2,1H3/i8D/t8-/m1/s1	KBPLFHHGFOOTCA-DLDGQBHASA-N	(1R)-1-deuteriooctan-1-ol	(1R)-1-deuteriooctan-1-ol
1-octanol	1-8ol	10997076	131.22	CCCCCCCCO	CCCCCCC[13CH2]O	InChI=1S/C8H18O/c1-2-3-4-5-6-7-8-9/h9H,2-8H2,1H3/i8+1	KBPLFHHGFOOTCA-VJJZLTLGSA-N	(113C)octan-1-ol	1-octanol-1-13c
1-octanol	1-8ol	11040739	131.23	CCCCCCCCO	[2H]C(CCCCCC)CO	InChI=1S/C8H18O/c1-2-3-4-5-6-7-8-9/h9H,2-8H2,1H3/i7D	KBPLFHHGFOOTCA-WHRKIXHSSA-N	2-deuteriooctan-1-ol	2-deuteriooctan-1-ol
1-octanol	1-8ol	12215303	148.34	CCCCCCCCO	[2H]C([2H])([2H])C([2H])([2H])C([2H])([2H])C([2H])([2H])C([2H])([2H])C([2H])([2H])C([2H])([2H])C([2H])([2H])O[2H]	InChI=1S/C8H18O/c1-2-3-4-5-6-7-8-9/h9H,2-8H2,1H3/i1D3,2D2,3D2,4D2,5D2,6D2,7D2,8D2,9D	KBPLFHHGFOOTCA-PBYHGZINSA-N	1,1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8-heptadecadeuterio-8-deuteriooxyoctane	capryl alcohol-d18
1-octanol	1-8ol	12215305	132.24	CCCCCCCCO	[2H]C([2H])(CCCCCCC)O	InChI=1S/C8H18O/c1-2-3-4-5-6-7-8-9/h9H,2-8H2,1H3/i8D2	KBPLFHHGFOOTCA-MGVXTIMCSA-N	1,1-dideuteriooctan-1-ol	1-octanol-d2
1-octanol	1-8ol	12215310	132.22	CCCCCCCCO	CCCCCCC[14CH2]O	InChI=1S/C8H18O/c1-2-3-4-5-6-7-8-9/h9H,2-8H2,1H3/i8+2	KBPLFHHGFOOTCA-PPJXEINESA-N	(114C)octan-1-ol	octanol-n,[1-14c]
1-octanol	1-8ol	16104431	137.27	CCCCCCCCO	[2H]C([2H])([2H])C([2H])([2H])C([2H])([2H])CCCCCO	InChI=1S/C8H18O/c1-2-3-4-5-6-7-8-9/h9H,2-8H2,1H3/i1D3,2D2,3D2	KBPLFHHGFOOTCA-NCKGIQLSSA-N	6,6,7,7,8,8,8-heptadeuteriooctan-1-ol	6,6,7,7,8,8,8-heptadeuteriooctan-1-ol
1-octanol	1-8ol	16212925	147.33	CCCCCCCCO	[2H]C([2H])([2H])C([2H])([2H])C([2H])([2H])C([2H])([2H])C([2H])([2H])C([2H])([2H])C([2H])([2H])C([2H])([2H])O	InChI=1S/C8H18O/c1-2-3-4-5-6-7-8-9/h9H,2-8H2,1H3/i1D3,2D2,3D2,4D2,5D2,6D2,7D2,8D2	KBPLFHHGFOOTCA-OISRNESJSA-N	1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8,8-heptadecadeuteriooctan-1-ol	1-octan-d17-ol
1-octanol	1-8ol	25240596	131.23	CCCCCCCCO	[2H]C(CCCCCCC)O	InChI=1S/C8H18O/c1-2-3-4-5-6-7-8-9/h9H,2-8H2,1H3/i8D	KBPLFHHGFOOTCA-BNEYPBHNSA-N	1-deuteriooctan-1-ol	1-deuteriooctan-1-ol
1-octanol	1-8ol	25241551	131.23	CCCCCCCCO	[H][C@]([2H])(CCCCCCC)O	InChI=1S/C8H18O/c1-2-3-4-5-6-7-8-9/h9H,2-8H2,1H3/i8D/t8-/m0/s1	KBPLFHHGFOOTCA-KPSOOTRBSA-N	(1S)-1-deuteriooctan-1-ol	(1S)-1-deuteriooctan-1-ol
